#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.451217    0.451217           0
           2    0.446396    0.448806  0.00170431
           3    0.435773    0.444462  0.00372478
           4    0.446658    0.445011  0.00283378
           5    0.437158     0.44344  0.00266694
           6    0.440014    0.442869  0.00228278
           7    0.430556     0.44111  0.00254572
           8    0.434231     0.44025  0.00236828
           9    0.445998    0.440889  0.00218957
          10     0.44567    0.441367  0.00202214
          11    0.437299    0.440997  0.00187182
          12    0.436537    0.440626  0.00175236
          13    0.438101    0.440431  0.00162829
          14    0.435258    0.440062  0.00155335
          15    0.439002    0.439991   0.0014514
          16    0.434242    0.439632  0.00140447
          17    0.442797    0.439818  0.00133414
          18    0.438171    0.439727  0.00126315
          19    0.438098    0.439641  0.00119958
          20    0.434781    0.439398  0.00116395
