#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1  -0.0016848  -0.0016848           0
           2    0.000518  -0.0005834 0.000778807
           3   0.0028756   0.0005696   0.0010751
           4  -0.0016568     1.3e-05 0.000939423
           5    0.005416   0.0010936  0.00122432
           6   0.0058072   0.0018792   0.0012471
           7  -0.0016144  0.00138011  0.00116453
           8    0.008982  0.00233035  0.00135217
           9   0.0101652  0.00320089  0.00145543
          10  -0.0012432  0.00275648  0.00137606
          11   0.0078416  0.00321876  0.00132635
          12   0.0071388  0.00354543   0.0012554
          13  -0.0026176  0.00307135  0.00124513
          14   0.0042008  0.00315203  0.00115881
          15   0.0027328  0.00312408  0.00108189
          16  -0.0062604  0.00253755  0.00116244
          17  -0.0050188  0.00209306  0.00117597
          18    0.000484  0.00200367  0.00111403
          19   0.0018996  0.00199819  0.00105541
          20   0.0017764   0.0019871   0.0010027
