#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1  -0.0027828  -0.0027828           0
           2   0.0047456   0.0009814  0.00266169
           3   0.0018268   0.0012632  0.00178932
           4   0.0039632   0.0019382  0.00146378
           5  -0.0003504  0.00148048  0.00124052
           6  -0.0026408   0.0007936  0.00120907
           7   -0.000486   0.0006108  0.00105007
           8    0.001968  0.00078045 0.000932418
           9  -0.0058268 4.63111e-05  0.00107982
          10  -0.0028564 -0.00024396   0.0010101
          11  -0.0009456-0.000307745 0.000920284
          12  -0.0025976-0.000498567 0.000863151
          13   0.0055756-3.13231e-05 0.000914517
          14    0.006848 0.000460057 0.000972285
          15   -0.005058 9.21867e-05 0.000974577
          16  -0.0055404 -0.00025985 0.000975177
          17   0.0066028 0.000143835 0.000997877
          18  -0.0003024 0.000119044 0.000942747
          19   0.0021992 0.000228526 0.000899463
          20   0.0004528  0.00023974  0.00085456
