#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.50475     3.50475           0
           2     3.60823     3.55649   0.0365857
           3     3.54686     3.55328   0.0245311
           4     3.51488     3.54368   0.0201899
           5     3.58058     3.55106   0.0174485
           6     3.63191     3.56453   0.0190462
           7     3.55621     3.56335   0.0163624
           8     3.59581      3.5674   0.0148118
           9     3.57765     3.56854   0.0132097
          10     3.57941     3.56963   0.0119333
          11     3.54352     3.56725    0.011082
          12     3.62443     3.57202   0.0111358
          13      3.5863     3.57312   0.0103332
          14      3.5245     3.56965   0.0101619
          15     3.55983     3.56899  0.00950544
          16     3.57991     3.56967  0.00893582
          17     3.62494     3.57292  0.00898215
          18     3.57237     3.57289   0.0084832
          19     3.63799     3.57632  0.00870117
          20     3.53884     3.57445  0.00846548
