#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.52853    -0.52853           0
           2    -0.52745    -0.52799 0.000381555
           3   -0.527574   -0.527851 0.000278385
           4   -0.529687    -0.52831 0.000448952
           5   -0.528364   -0.528321 0.000359289
           6   -0.527234    -0.52814 0.000342026
           7   -0.528837    -0.52824  0.00030731
           8   -0.528865   -0.528318 0.000278658
           9   -0.528602   -0.528349 0.000249485
          10   -0.528644   -0.528379  0.00022627
          11   -0.529702   -0.528499 0.000235497
          12   -0.528172   -0.528472 0.000217444
          13   -0.528674   -0.528487 0.000201275
          14   -0.528541   -0.528491 0.000186934
          15    -0.52833    -0.52848 0.000174782
          16   -0.528602   -0.528488 0.000164022
          17   -0.528815   -0.528507 0.000155499
          18    -0.52965   -0.528571 0.000159302
          19   -0.528451   -0.528564 0.000151042
          20   -0.528766   -0.528575 0.000143824
