#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1        0.72        0.72           0
           2        0.72        0.72           0
           3        0.72        0.72           0
           4        0.84        0.75   0.0259808
           5        0.76       0.752   0.0208614
           6        0.92        0.78   0.0309121
           7        0.96    0.805714   0.0356203
           8           1        0.83   0.0385681
           9           1    0.848889   0.0386323
          10           1       0.864   0.0376085
          11           1    0.876364   0.0361647
          12           1    0.886667   0.0345875
          13           1    0.895385   0.0330074
          14           1    0.902857   0.0314842
          15           1    0.909333   0.0300439
          16           1       0.915   0.0286956
          17           1        0.92   0.0274398
          18           1    0.924444   0.0262728
          19           1    0.928421   0.0251892
          20           1       0.932   0.0241826
          21           1    0.935238   0.0232469
          22           1    0.938182   0.0223758
          23           1     0.94087   0.0215638
          24           1    0.943333   0.0208055
          25           1      0.9456   0.0200964
          26           1    0.947692   0.0194321
          27           1     0.94963   0.0188087
          28           1    0.951429   0.0182228
          29           1    0.953103   0.0176712
          30           1    0.954667   0.0171512
          31           1    0.956129   0.0166601
          32           1      0.9575   0.0161958
          33           1    0.958788   0.0157562
          34           1        0.96   0.0153393
          35           1    0.961143   0.0149435
          36           1    0.962222   0.0145674
          37           1    0.963243   0.0142094
          38           1    0.964211   0.0138684
          39           1    0.965128   0.0135431
          40           1       0.966   0.0132325
          41           1    0.966829   0.0129357
          42           1    0.967619   0.0126518
          43           1    0.968372     0.01238
          44           1    0.969091   0.0121195
          45           1    0.969778   0.0118696
          46           1    0.970435   0.0116298
          47           1    0.971064   0.0113993
          48           1    0.971667   0.0111778
          49           1    0.972245   0.0109646
          50           1      0.9728   0.0107593
          51           1    0.973333   0.0105616
          52           1    0.973846   0.0103709
          53           1     0.97434    0.010187
          54           1    0.974815   0.0100094
          55           1    0.975273  0.00983787
          56           1    0.975714   0.0096721
          57           1     0.97614   0.0095118
          58           1    0.976552  0.00935669
          59           1    0.976949  0.00920654
          60           1    0.977333  0.00906111
          61           1    0.977705  0.00892018
          62           1    0.978065  0.00878355
          63           1    0.978413  0.00865103
          64           1     0.97875  0.00852243
          65           1    0.979077  0.00839759
          66           1    0.979394  0.00827633
          67           1    0.979701  0.00815852
          68           1        0.98    0.008044
          69           1     0.98029  0.00793264
          70           1    0.980571  0.00782431
          71           1    0.980845  0.00771889
          72           1    0.981111  0.00761627
          73           1     0.98137  0.00751633
          74           1    0.981622  0.00741897
          75           1    0.981867   0.0073241
          76           1    0.982105  0.00723161
          77           1    0.982338  0.00714143
          78           1    0.982564  0.00705346
          79           1    0.982785  0.00696763
          80           1       0.983  0.00688386
          81           1     0.98321  0.00680207
          82           1    0.983415   0.0067222
          83           1    0.983614  0.00664418
          84           1     0.98381  0.00656794
          85           1       0.984  0.00649344
          86           1    0.984186   0.0064206
          87           1    0.984368  0.00634937
          88           1    0.984545   0.0062797
          89           1    0.984719  0.00621154
          90           1    0.984889  0.00614485
          91           1    0.985055  0.00607956
          92           1    0.985217  0.00601565
          93           1    0.985376  0.00595307
          94           1    0.985532  0.00589177
