#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1         2.8         2.8           0
           2     3.65714     3.22857    0.303046
           3   0.0571429     2.17143    0.886482
           4           0     1.62857    0.814286
           5     1.42857     1.58857     0.65241
           6   0.0571429     1.33333    0.591499
           7   0.0571429     1.15102    0.534358
           8     2.05714     1.26429    0.479417
           9     6.91429     1.89206    0.729327
          10     8.22857     2.52571    0.890065
          11     6.91429     2.92468    0.894105
          12         2.8     2.91429    0.819656
          13    0.914286     2.76044    0.770909
          14   0.0571429     2.56735    0.739631
          15    0.228571     2.41143    0.706566
          16     2.05714     2.38929    0.662752
          17           0     2.24874    0.638495
          18           0     2.12381    0.615124
          19           0     2.01203    0.592818
          20    0.514286     1.93714    0.567888
          21    0.228571     1.85578    0.546642
          22   0.0571429     1.77403    0.527873
          23           0     1.69689    0.510526
          24    0.514286     1.64762    0.491627
          25           0     1.58171    0.476359
          26     1.42857     1.57582    0.458074
          27         2.8     1.62116    0.443346
          28    0.914286     1.59592     0.42823
          29     3.65714       1.667    0.419321
          30    0.914286      1.6419    0.406094
          31    0.914286     1.61843    0.393672
          32     6.91429     1.78393    0.414699
          33     5.71429     1.90303    0.418886
          34     3.65714     1.95462    0.409731
          35    0.914286      1.9249    0.399101
          36           0     1.87143     0.39158
          37   0.0571429     1.82239    0.384055
          38    0.514286     1.78797    0.375488
          39    0.514286     1.75531    0.367278
          40    0.514286     1.72429    0.359404
          41    0.514286     1.69477    0.351847
          42    0.228571     1.65986    0.345197
          43   0.0571429     1.62259    0.339176
          44   0.0571429     1.58701    0.333328
          45    0.228571     1.55683    0.327285
          46   0.0571429     1.52422     0.32179
          47   0.0571429     1.49301    0.316453
          48    0.228571     1.46667    0.310955
          49   0.0571429      1.4379    0.305937
          50   0.0571429     1.41029    0.301062
          51   0.0571429     1.38375    0.296325
          52   0.0571429     1.35824    0.291723
          53    0.228571     1.33693    0.286996
          54           0     1.31217    0.282748
          55    0.514286     1.29766    0.277979
          56    0.914286     1.29082    0.273099
          57    0.914286     1.28421    0.268388
          58     5.71429     1.36059    0.274414
          59     1.42857     1.36174    0.269765
          60     2.05714     1.37333    0.265518
          61     3.65714     1.41077    0.263791
          62         2.8     1.43318    0.260487
          63     2.05714     1.44308     0.25654
          64   0.0571429     1.42143    0.253444
          65   0.0571429     1.40044    0.250413
          66     1.42857     1.40087    0.246619
          67     1.42857     1.40128    0.242938
          68         2.8     1.42185    0.240235
          69     8.22857      1.5205    0.256208
          70     8.22857     1.61633    0.269875
