#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1        50.4        50.4           0
           2     60.4571     55.4286     3.55574
           3     60.4571     57.1048     2.73721
           4        50.4     55.4286     2.51429
           5        50.4     54.4229     2.20341
           6     45.7143     52.9714      2.2643
           7     37.0286     50.6939     2.86584
           8     33.0286     48.4857     3.24878
           9     29.2571     46.3492     3.52092
          10     29.2571       44.64      3.5596
          11        22.4     42.6182     3.76667
          12     25.7143     41.2095     3.70684
          13     29.2571     40.2901     3.53388
          14     25.7143      39.249      3.4314
          15     19.3143       37.92     3.45041
          16     9.25714     36.1286     3.67047
          17     11.4286     34.6756     3.73106
          18     11.4286     33.3841     3.74064
          19     11.4286     32.2286     3.71796
          20     9.25714       31.08     3.70523
          21     9.25714     30.0408     3.67163
          22         5.6     28.9299     3.66896
          23     7.31429     27.9901     3.62781
          24     9.25714     27.2095     3.55963
          25     11.4286     26.5783     3.47276
          26     11.4286     25.9956     3.38773
          27     9.25714     25.3757     3.31849
          28     7.31429     24.7306     3.26207
          29     9.25714      24.197     3.19292
          30         5.6     23.5771     3.14609
          31         5.6     22.9972     3.09759
          32     9.25714     22.5679      3.0304
          33     11.4286     22.2303     2.95731
          34     16.4571     22.0605      2.8752
          35     16.4571     21.9004     2.79751
          36     13.8286     21.6762     2.72877
          37     13.8286     21.4641     2.66325
          38     16.4571     21.3323     2.59642
          39     16.4571     21.2073     2.53285
          40     19.3143       21.16     2.46997
          41     19.3143      21.115     2.41014
          42     9.25714     20.8327     2.36924
          43     11.4286      20.614     2.32421
          44     16.4571     20.5195     2.27331
          45     16.4571     20.4292     2.22458
          46     19.3143      20.405     2.17635
          47     25.7143     20.5179     2.13298
          48     25.7143     20.6262     2.09128
          49     29.2571     20.8023     2.05601
          50     25.7143     20.9006     2.01723
          51     25.7143      20.995     1.97989
          52     25.7143     21.0857     1.94389
          53     29.2571     21.2399     1.91332
          54     29.2571     21.3884     1.88364
          55        22.4     21.4068     1.84948
          56        22.4     21.4245     1.81654
          57        22.4     21.4416     1.78475
          58     25.7143     21.5153      1.7555
          59     19.3143      21.478     1.72614
          60     11.4286     21.3105     1.70548
          61     11.4286     21.1485      1.6852
          62     11.4286     20.9917     1.66529
          63     16.4571     20.9197     1.64041
          64     13.8286     20.8089     1.61852
          65     16.4571      20.742       1.595
          66        22.4     20.7671     1.57103
          67     16.4571     20.7028      1.5489
          68     19.3143     20.6824     1.52626
          69     11.4286     20.5482     1.51002
          70     11.4286      20.418     1.49406
          71     9.25714     20.2608     1.48126
          72         5.6     20.0571     1.47462
          73     11.4286     19.9389     1.45915
          74     11.4286     19.8239     1.44395
          75     9.25714      19.683     1.43156
          76     13.8286      19.606     1.41479
          77     19.3143     19.6022     1.39642
          78     19.3143     19.5985     1.37853
          79     19.3143     19.5949     1.36108
          80     11.4286     19.4929     1.34789
          81     7.31429     19.3425     1.33961
          82     4.11429     19.1568     1.33608
          83     9.25714     19.0375      1.3253
          84     9.25714     18.9211     1.31463
          85     9.25714     18.8074     1.30407
          86     7.31429     18.6738     1.29573
          87     9.25714     18.5655     1.28535
          88     9.25714     18.4597     1.27509
          89     11.4286     18.3807     1.26321
          90     4.11429     18.2222     1.25908
          91         5.6     18.0835     1.25286
          92     1.82857     17.9068     1.25164
          93    0.457143     17.7192     1.25217
          94    0.457143     17.5356     1.25224
