#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       -0.76       -0.76           0
           2       -0.76       -0.76           0
           3       -0.76       -0.76           0
           4       -0.76       -0.76           0
           5       -0.76       -0.76           0
           6       -0.76       -0.76           0
           7       -0.68   -0.748571   0.0105808
           8       -0.84       -0.76   0.0141421
           9       -0.84   -0.768889   0.0151082
          10       -0.84      -0.776   0.0151789
          11       -0.76   -0.774545   0.0138685
          12       -0.76   -0.773333   0.0127657
          13       -0.76   -0.772308   0.0118248
          14       -0.76   -0.771429   0.0110128
          15       -0.76   -0.770667    0.010305
          16       -0.76       -0.77  0.00968246
          17       -0.68   -0.764706   0.0104606
          18       -0.76   -0.764444  0.00988271
          19       -0.68       -0.76   0.0103136
          20       -0.76       -0.76  0.00979796
          21       -0.68    -0.75619   0.0100447
          22       -0.68   -0.752727   0.0101676
          23       -0.68   -0.749565   0.0102054
          24       -0.76       -0.75  0.00978945
          25       -0.68     -0.7472  0.00979012
          26       -0.68   -0.744615  0.00974878
          27        -0.6   -0.739259   0.0107589
          28       -0.68   -0.737143   0.0105808
          29       -0.68   -0.735172   0.0103978
          30       -0.68   -0.733333   0.0102126
          31       -0.68   -0.731613    0.010027
          32       -0.76     -0.7325   0.0097528
          33       -0.76   -0.733333   0.0094928
          34       -0.84   -0.736471  0.00971819
          35       -0.84   -0.739429  0.00988045
          36       -0.76       -0.74   0.0096225
          37       -0.76   -0.740541  0.00937761
          38       -0.76   -0.741053   0.0091448
          39       -0.68   -0.739487  0.00904332
          40       -0.68      -0.738  0.00893868
          41       -0.76   -0.738537  0.00873675
          42       -0.84   -0.740952  0.00885644
          43       -0.84   -0.743256    0.008945
          44       -0.92   -0.747273  0.00960137
          45       -0.92   -0.751111   0.0101262
          46       -0.84   -0.753043   0.0100888
          47       -0.84   -0.754894   0.0100423
          48       -0.84   -0.756667  0.00998842
          49       -0.84   -0.758367   0.0099283
          50       -0.92     -0.7616   0.0102425
          51       -0.92   -0.764706    0.010502
          52       -0.76   -0.764615   0.0103004
          53       -0.84   -0.766038   0.0102038
          54       -0.84   -0.767407   0.0101064
          55       -0.84   -0.768727   0.0100084
          56       -0.92   -0.771429   0.0101877
          57       -0.92   -0.774035   0.0103371
          58       -0.92   -0.776552   0.0104607
          59          -1   -0.780339   0.0109475
          60          -1      -0.784   0.0113608
          61          -1   -0.787541   0.0117134
          62       -0.84   -0.788387   0.0115549
          63       -0.76   -0.787937   0.0113803
          64       -0.68    -0.78625   0.0113268
          65       -0.76   -0.785846   0.0111597
          66       -0.76   -0.785455   0.0109975
          67       -0.84   -0.786269   0.0108634
          68       -0.68   -0.784706   0.0108155
          69       -0.76   -0.784348   0.0106647
          70       -0.76      -0.784    0.010518
          71       -0.76   -0.783662   0.0103753
          72       -0.92   -0.785556   0.0104026
          73       -0.84   -0.786301   0.0102868
          74       -0.84   -0.787027   0.0101733
          75       -0.84   -0.787733   0.0100622
          76       -0.84   -0.788421  0.00995324
          77       -0.84   -0.789091  0.00984649
          78       -0.76   -0.788718  0.00972731
          79       -0.76   -0.788354  0.00961097
          80       -0.76      -0.788  0.00949737
          81       -0.84   -0.788642  0.00940179
          82       -0.84   -0.789268  0.00930797
          83       -0.84    -0.78988  0.00921587
          84       -0.76   -0.789524  0.00911302
          85       -0.68   -0.788235  0.00909645
          86       -0.68   -0.786977  0.00907732
          87        -0.6   -0.784828   0.0092239
          88       -0.68   -0.783636  0.00919568
          89       -0.68   -0.782472  0.00916579
          90       -0.84   -0.783111  0.00908621
          91       -0.76   -0.782857  0.00898991
          92       -0.84   -0.783478  0.00891362
          93       -0.76   -0.783226  0.00882135
          94       -0.84    -0.78383  0.00874816
          95       -0.92   -0.785263  0.00877271
          96       -0.92   -0.786667  0.00879288
          97       -0.84   -0.787216  0.00871941
          98       -0.84   -0.787755  0.00864706
          99       -0.84   -0.788283   0.0085758
         100       -0.76      -0.788   0.0084947
         101       -0.76   -0.787723  0.00841512
         102       -0.76   -0.787451  0.00833701
         103       -0.84   -0.787961  0.00827166
         104       -0.92   -0.789231  0.00828899
         105       -0.92   -0.790476  0.00830308
         106       -0.92   -0.791698  0.00831418
         107       -0.84    -0.79215  0.00824872
         108       -0.84   -0.792593  0.00818423
         109       -0.76   -0.792294  0.00811461
         110       -0.76      -0.792  0.00804615
         111       -0.68   -0.790991  0.00803668
         112        -0.6   -0.789286  0.00814383
         113       -0.68   -0.788319  0.00812898
         114       -0.76    -0.78807  0.00806147
         115       -0.76   -0.787826  0.00799507
         116       -0.84   -0.788276  0.00793879
         117       -0.84   -0.788718  0.00788323
         118       -0.76   -0.788475  0.00782018
         119       -0.84   -0.788908  0.00776644
         120       -0.76   -0.788667  0.00770546
         121       -0.68   -0.787769  0.00769393
         122       -0.68   -0.786885  0.00768141
         123       -0.76   -0.786667  0.00762207
         124       -0.76   -0.786452  0.00756363
         125       -0.84    -0.78688  0.00751525
         126       -0.84   -0.787302  0.00746742
         127       -0.76   -0.787087  0.00741171
         128       -0.76   -0.786875  0.00735683
         129       -0.76   -0.786667  0.00730275
         130       -0.84   -0.787077  0.00725809
         131       -0.84   -0.787481  0.00721392
         132       -0.84   -0.787879  0.00717023
         133       -0.84   -0.788271  0.00712702
         134       -0.84   -0.788657  0.00708428
         135       -0.84   -0.789037  0.00704201
         136       -0.84   -0.789412  0.00700019
         137       -0.76   -0.789197  0.00695238
         138       -0.68   -0.788406  0.00694689
         139        -0.6    -0.78705   0.0070279
         140       -0.68   -0.786286  0.00701917
         141       -0.76   -0.786099  0.00697187
         142       -0.76   -0.785915  0.00692519
         143       -0.84   -0.786294  0.00688708
         144       -0.68   -0.785556   0.0068787
         145       -0.68   -0.784828  0.00686967
         146       -0.68    -0.78411  0.00686004
         147       -0.84    -0.78449   0.0068239
         148       -0.84   -0.784865  0.00678809
         149       -0.84   -0.785235  0.00675261
         150       -0.76   -0.785067  0.00670969
         151       -0.68   -0.784371  0.00670124
         152        -0.6   -0.783158  0.00676604
         153        -0.6   -0.781961   0.0068269
         154       -0.68   -0.781299  0.00681459
         155        -0.6   -0.780129  0.00687028
         156        -0.6   -0.778974  0.00692259
         157       -0.68   -0.778344  0.00690714
         158        -0.6   -0.777215  0.00695504
         159       -0.76   -0.777107  0.00691214
         160       -0.84     -0.7775  0.00688011
         161       -0.76   -0.777391  0.00683824
         162       -0.84   -0.777778  0.00680694
         163       -0.84    -0.77816  0.00677587
         164       -0.84   -0.778537  0.00674504
         165       -0.76   -0.778424   0.0067051
         166       -0.76   -0.778313  0.00666562
         167       -0.84   -0.778683  0.00663594
         168       -0.84   -0.779048  0.00660647
         169       -0.84   -0.779408  0.00657721
         170       -0.84   -0.779765  0.00654817
         171       -0.76   -0.779649   0.0065109
         172        -0.6   -0.778605  0.00655629
         173        -0.6   -0.777572  0.00659917
         174       -0.76   -0.777471  0.00656202
         175       -0.76   -0.777371  0.00652528
         176       -0.76   -0.777273  0.00648895
         177       -0.68   -0.776723  0.00647552
         178       -0.68    -0.77618   0.0064619
         179       -0.68   -0.775642   0.0064481
         180       -0.76   -0.775556  0.00641286
         181       -0.68   -0.775028  0.00639913
         182       -0.68   -0.774505  0.00638523
         183       -0.76   -0.774426  0.00635083
         184       -0.76   -0.774348   0.0063168
         185       -0.76    -0.77427  0.00628313
         186       -0.76   -0.774194  0.00624982
         187        -0.6   -0.773262  0.00628544
         188        -0.6    -0.77234  0.00631921
         189       -0.44   -0.770582  0.00652584
         190       -0.52   -0.769263  0.00662342
         191        -0.6   -0.768377  0.00664777
         192       -0.52   -0.767083  0.00673783
         193       -0.76   -0.767047  0.00670302
         194       -0.76    -0.76701  0.00666857
         195       -0.76   -0.766974  0.00663447
         196       -0.76   -0.766939  0.00660071
         197       -0.76   -0.766904   0.0065673
         198       -0.76   -0.766869  0.00653423
         199       -0.68   -0.766432  0.00651596
         200       -0.68      -0.766  0.00649769
         201        -0.6   -0.765174  0.00651764
         202       -0.68   -0.764752    0.006499
         203       -0.68   -0.764335  0.00648038
         204       -0.68   -0.763922  0.00646179
         205       -0.68   -0.763512  0.00644322
         206       -0.68   -0.763107  0.00642468
         207        -0.6   -0.762319  0.00644178
         208       -0.68   -0.761923  0.00642296
         209       -0.68   -0.761531  0.00640418
         210       -0.68   -0.761143  0.00638544
         211       -0.84   -0.761517   0.0063661
         212       -0.76   -0.761509  0.00633608
         213       -0.76   -0.761502  0.00630634
         214       -0.76   -0.761495  0.00627687
         215       -0.68   -0.761116  0.00625911
         216       -0.68   -0.760741  0.00624139
         217       -0.84   -0.761106   0.0062233
         218       -0.76   -0.761101  0.00619476
         219       -0.76   -0.761096  0.00616648
         220        -0.6   -0.760364  0.00618177
         221        -0.6   -0.759638  0.00619624
         222       -0.68   -0.759279   0.0061787
         223       -0.76   -0.759283    0.006151
         224       -0.68   -0.758929  0.00613371
         225       -0.68   -0.758578  0.00611647
         226       -0.68    -0.75823  0.00609928
         227       -0.68   -0.757885  0.00608214
         228       -0.68   -0.757544  0.00606505
         229       -0.76   -0.757555  0.00603858
         230       -0.76   -0.757565  0.00601233
         231       -0.76   -0.757576  0.00598631
         232       -0.76   -0.757586  0.00596052
         233       -0.76   -0.757597  0.00593495
         234       -0.76   -0.757607  0.00590959
         235       -0.92   -0.758298  0.00592471
         236       -0.84   -0.758644  0.00590971
         237       -0.92   -0.759325  0.00592386
         238       -0.92       -0.76  0.00593732
         239       -0.92   -0.760669   0.0059501
         240          -1   -0.761667  0.00600829
         241          -1   -0.762656   0.0060642
         242          -1   -0.763636  0.00611794
         243          -1   -0.764609   0.0061696
         244          -1   -0.765574  0.00621928
         245       -0.92   -0.766204  0.00622575
         246          -1   -0.767154  0.00627257
         247          -1   -0.768097  0.00631761
         248          -1   -0.769032  0.00636097
         249          -1    -0.76996  0.00640269
         250       -0.92    -0.77056  0.00640515
         251          -1   -0.771474  0.00644453
         252       -0.92   -0.772063  0.00644585
         253       -0.84   -0.772332  0.00642596
         254       -0.84   -0.772598  0.00640618
         255       -0.92   -0.773176  0.00640709
         256       -0.92    -0.77375  0.00640768
         257       -0.84   -0.774008  0.00638793
         258       -0.76   -0.773953   0.0063634
         259       -0.76     -0.7739  0.00633906
         260       -0.68   -0.773538  0.00632496
         261       -0.68    -0.77318  0.00631087
         262       -0.68   -0.772824   0.0062968
         263        -0.6   -0.772167  0.00630705
         264       -0.76   -0.772121  0.00628333
         265       -0.76   -0.772075  0.00625978
         266       -0.84   -0.772331  0.00624146
         267       -0.92   -0.772884  0.00624254
         268       -0.84   -0.773134  0.00622426
         269       -0.92    -0.77368  0.00622503
         270       -0.92   -0.774222  0.00622551
         271       -0.92    -0.77476  0.00622574
         272       -0.92   -0.775294  0.00622571
         273       -0.92   -0.775824  0.00622542
         274       -0.92    -0.77635   0.0062249
         275       -0.84   -0.776582  0.00620657
         276       -0.76   -0.776522  0.00618437
         277       -0.84   -0.776751  0.00616629
         278       -0.84   -0.776978   0.0061483
         279       -0.84   -0.777204  0.00613041
         280       -0.84   -0.777429  0.00611262
