#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1        0.28        0.28           0
           2        0.28        0.28           0
           3       -0.16    0.133333    0.119753
           4        -0.2        0.05    0.115217
           5       -0.24      -0.008     0.10577
           6        0.04           0   0.0884433
           7        0.04  0.00571429   0.0759929
           8        0.24       0.035   0.0719157
           9        0.44        0.08    0.076723
          10        0.48        0.12   0.0787909
          11        0.44    0.149091    0.076811
          12        0.08    0.143333   0.0706255
          13        0.08    0.138462   0.0653606
          14       -0.12        0.12   0.0632456
          15           0       0.112    0.059533
          16        0.16       0.115   0.0558877
          17       -0.08    0.103529   0.0537645
          18       -0.12   0.0911111    0.052192
          19       -0.08   0.0821053    0.050216
          20       -0.04       0.076   0.0480749
          21       -0.16   0.0647619   0.0470809
          22       -0.08   0.0581818   0.0453983
          23       -0.12   0.0504348   0.0440805
          24       -0.28   0.0366667   0.0443419
          25       -0.16      0.0288   0.0432604
          26           0   0.0276923   0.0416107
          27        0.12   0.0311111   0.0402098
          28       -0.04   0.0285714   0.0388538
          29        0.16   0.0331034   0.0377774
          30       -0.04   0.0306667   0.0365967
          31       -0.08   0.0270968   0.0355899
          32        0.16     0.03125   0.0347192
          33        0.16   0.0351515   0.0338856
          34        0.16   0.0388235   0.0330873
          35        0.04   0.0388571    0.032142
          36       -0.08   0.0355556   0.0314182
          37       -0.08   0.0324324   0.0307239
          38       -0.28   0.0242105    0.030996
          39       -0.32   0.0153846   0.0314327
          40       -0.32       0.007   0.0317455
          41       -0.12  0.00390244   0.0311219
          42        0.08  0.00571429   0.0304336
          43       -0.08  0.00372093   0.0297911
          44       -0.12 0.000909091   0.0292464
          45       -0.16 -0.00266667   0.0288143
          46       -0.16 -0.00608696   0.0283901
          47       -0.16  -0.0093617   0.0279743
          48       -0.08  -0.0108333   0.0274302
          49       -0.24  -0.0155102   0.0272662
          50       -0.24       -0.02    0.027088
          51       -0.12  -0.0219608   0.0266277
          52       -0.12  -0.0238462   0.0261823
          53       -0.16  -0.0264151    0.025814
          54       -0.28  -0.0311111   0.0257596
          55        0.04  -0.0298182   0.0253237
          56        0.16  -0.0264286   0.0250973
          57        0.28  -0.0210526   0.0252262
          58        0.48  -0.0124138   0.0262288
          59        0.36 -0.00610169   0.0265329
          60        0.28 -0.00133333   0.0265157
          61        0.24  0.00262295   0.0263745
          62        0.12  0.00451613    0.026017
          63           0  0.00444444   0.0256041
          64       -0.24    0.000625   0.0254873
          65       -0.16 -0.00184615   0.0252147
          66        0.12           0   0.0249002
          67         0.2  0.00298507   0.0247068
          68        0.28  0.00705882    0.024677
          69        0.48    0.013913   0.0252534
          70        0.44        0.02   0.0256157
          71        0.56   0.0276056   0.0263598
          72        0.44   0.0333333   0.0266087
          73        0.32   0.0372603   0.0265324
          74        0.16   0.0389189   0.0262257
          75         0.2   0.0410667   0.0259638
          76        0.04   0.0410526   0.0256222
          77        0.04    0.041039   0.0252894
          78           0   0.0405128   0.0249707
          79       -0.08   0.0389873   0.0247011
          80        0.32      0.0425   0.0246409
          81        0.64   0.0498765   0.0254168
          82        0.48    0.055122   0.0256424
          83        0.56   0.0612048   0.0260449
          84        0.52   0.0666667   0.0263014
          85        0.52       0.072   0.0265272
          86         0.4    0.075814   0.0264915
          87         0.2   0.0772414   0.0262254
          88        0.04   0.0768182   0.0259308
          89       -0.12   0.0746067   0.0257336
          90       -0.12   0.0724444   0.0255383
          91       -0.16   0.0698901   0.0253851
          92       -0.04   0.0686957   0.0251372
          93        0.16   0.0696774   0.0248861
          94        0.12   0.0702128   0.0246271
          95           0   0.0694737    0.024379
          96           0     0.06875   0.0241358
          97       -0.04   0.0676289    0.023913
          98       -0.08   0.0661224   0.0237164
          99       -0.04   0.0650505    0.023501
         100       -0.08      0.0636   0.0233107
         101        0.08   0.0637624   0.0230805
         102        0.04   0.0635294   0.0228554
         103       -0.24   0.0605825   0.0228227
         104        0.08   0.0607692    0.022604
         105       -0.04   0.0598095   0.0224091
         106        0.08        0.06   0.0221985
         107        0.12   0.0605607   0.0219981
         108           0        0.06   0.0218016
         109        0.08   0.0601835   0.0216023
         110        0.04        0.06   0.0214067
         111       -0.12   0.0583784   0.0212752
         112       -0.12   0.0567857   0.0211448
         113        0.04   0.0566372   0.0209582
         114        0.12    0.057193   0.0207817
