#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1         0.6         0.6           0
           2        0.64        0.62   0.0141421
           3        0.72    0.653333   0.0288033
           4        0.64        0.65   0.0217945
           5        0.68       0.656   0.0182428
           6        0.56        0.64   0.0210819
           7        0.52    0.622857   0.0240505
           8        0.44         0.6        0.03
           9         0.4    0.577778   0.0339127
          10        0.48       0.568   0.0318998
          11        0.48        0.56   0.0299862
          12         0.6    0.563333    0.027672
          13         0.6    0.566154   0.0256867
          14        0.68    0.574286   0.0251062
          15        0.76    0.586667   0.0263087
          16        0.72       0.595   0.0259507
          17        0.88    0.611765   0.0293439
          18        0.92    0.628889   0.0323264
          19        0.76    0.635789   0.0313528
          20        0.68       0.638    0.029863
          21        0.68        0.64   0.0285079
          22        0.68    0.641818     0.02727
          23        0.64    0.641739   0.0260844
          24        0.56    0.638333   0.0252189
          25        0.56      0.6352   0.0244041
          26         0.4    0.626154   0.0250861
          27        0.36    0.616296   0.0260218
          28        0.36    0.607143   0.0266538
          29        0.52    0.604138   0.0259035
          30        0.48         0.6   0.0253684
          31        0.44    0.594839   0.0250696
          32        0.36      0.5875   0.0253376
          33        0.44     0.58303   0.0249609
          34        0.36    0.576471   0.0250739
          35        0.44    0.572571   0.0246588
          36        0.44    0.568889   0.0242472
          37        0.44    0.565405   0.0238408
          38        0.32    0.558947   0.0240722
          39        0.48    0.556923     0.02354
          40        0.44       0.554   0.0231322
          41         0.4    0.550244   0.0228709
          42        0.32    0.544762    0.022974
          43        0.32    0.539535   0.0230267
          44        0.44    0.537273   0.0226142
          45        0.44    0.535111   0.0222147
          46         0.6    0.536522   0.0217765
          47         0.6    0.537872    0.021355
          48         0.6    0.539167   0.0209493
          49        0.64    0.541224   0.0206226
          50        0.68       0.544   0.0203961
          51        0.68    0.546667   0.0201697
          52        0.56    0.546923   0.0197835
          53        0.48     0.54566   0.0194505
          54        0.36    0.542222   0.0193918
          55        0.48    0.541091   0.0190722
          56        0.36    0.537857   0.0190037
          57        0.32    0.534035   0.0190508
          58         0.4    0.531724    0.018862
          59        0.52    0.531525   0.0185434
          60        0.56       0.532   0.0182404
          61        0.68    0.534426    0.018102
          62        0.88        0.54   0.0186484
          63        0.92    0.546032   0.0193032
