#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -0.6792     -0.6792           0
           2     -0.4392     -0.5592   0.0848528
           3     -0.5176   -0.545333   0.0576905
           4     -0.7576     -0.5984   0.0631202
           5      -0.676    -0.61392   0.0523694
           6     -0.6688   -0.623067   0.0444328
           7     -0.6728   -0.630171   0.0386491
           8     -0.5192     -0.6163   0.0362218
           9     -0.6056   -0.615111   0.0322167
          10     -0.6896    -0.62256   0.0298437
          11     -0.7664   -0.635636   0.0298583
          12     -0.8456   -0.653133   0.0320898
          13     -0.6072     -0.6496   0.0298152
          14     -0.4432   -0.634857   0.0311178
          15     -0.6904    -0.63856   0.0292628
          16      -0.604     -0.6364   0.0275135
          17     -0.5208     -0.6296   0.0267221
          18     -0.6064   -0.628311   0.0252686
          19      -0.444   -0.618611   0.0257334
          20     -0.5976    -0.61756   0.0244682
          21     -0.4416   -0.609181   0.0246961
          22     -0.5224   -0.605236   0.0238865
          23     -0.6032   -0.605148   0.0228481
          24      -0.764   -0.611767   0.0228347
          25     -0.6824   -0.614592   0.0220954
          26     -0.6016   -0.614092   0.0212512
          27     -0.5168   -0.610489   0.0207674
          28     -0.6024     -0.6102   0.0200277
          29      -0.364    -0.60171   0.0210597
          30     -0.5216    -0.59904   0.0205264
          31     -0.5224   -0.596568   0.0200125
          32     -0.6024    -0.59675    0.019388
          33     -0.7552   -0.601552   0.0193859
          34      -0.676   -0.603741    0.018939
          35      -0.756   -0.608091   0.0188909
          36     -0.5984   -0.607822   0.0183681
          37     -0.4392   -0.603265   0.0184283
          38      -0.596   -0.603074   0.0179444
          39     -0.5976   -0.602933   0.0174848
          40     -0.3592    -0.59684   0.0180783
          41      -0.356   -0.590966   0.0185672
          42     -0.6792   -0.593067   0.0182436
          43     -0.6024   -0.593284   0.0178206
          44     -0.5208   -0.591636   0.0174915
          45     -0.5224   -0.590098   0.0171704
          46     -0.4424   -0.586887   0.0170947
          47     -0.5208   -0.585481   0.0167887
          48      -0.516   -0.584033   0.0165012
          49     -0.5184   -0.582694   0.0162187
          50     -0.6768   -0.584576   0.0160032
          51       -0.52    -0.58331   0.0157394
          52     -0.7464   -0.586446   0.0157461
          53     -0.7488   -0.589509   0.0157442
          54     -0.8272   -0.593911   0.0160561
          55     -0.5904   -0.593847   0.0157643
          56     -0.5192   -0.592514   0.0155391
          57     -0.6024   -0.592688   0.0152674
          58     -0.3632   -0.588731   0.0155084
          59     -0.3624   -0.584895   0.0157129
          60     -0.6024   -0.585187   0.0154537
          61     -0.5232    -0.58417   0.0152337
          62     -0.5216   -0.583161   0.0150214
          63     -0.4416   -0.580914   0.0149501
          64     -0.3632   -0.577512   0.0150986
          65     -0.5176   -0.576591   0.0148944
          66     -0.5168   -0.575685   0.0146962
          67     -0.5992   -0.576036   0.0144811
          68     -0.6016   -0.576412    0.014273
          69     -0.5992   -0.576742     0.01407
          70     -0.6816    -0.57824   0.0139485
          71     -0.7656   -0.580879   0.0139994
          72     -0.7632   -0.583411   0.0140321
          73     -0.7624   -0.585863   0.0140525
          74     -0.6056    -0.58613   0.0138651
          75     -0.6064     -0.5864   0.0136829
          76     -0.6896   -0.587758   0.0135701
          77     -0.5264   -0.586961   0.0134172
          78      -0.684   -0.588205   0.0133027
          79     -0.6848   -0.589428   0.0131904
          80      -0.524    -0.58861   0.0130509
          81     -0.4344   -0.586706   0.0130279
          82      -0.512   -0.585795   0.0129008
          83     -0.5128   -0.584916   0.0127753
          84     -0.5968   -0.585057    0.012624
          85     -0.5968   -0.585195   0.0124763
          86     -0.6032   -0.585405   0.0123329
          87     -0.4376   -0.583706   0.0123076
          88     -0.5992   -0.583882    0.012169
          89     -0.6016   -0.584081   0.0120339
          90     -0.5184   -0.583351   0.0119223
          91     -0.5184   -0.582637   0.0118127
          92     -0.3592   -0.580209   0.0119313
          93     -0.5192   -0.579553    0.011821
          94     -0.5152   -0.578868   0.0117151
          95     -0.5944   -0.579032   0.0115929
          96     -0.6816     -0.5801   0.0115213
          97     -0.6088   -0.580396   0.0114063
          98     -0.5264   -0.579845   0.0113032
          99      -0.444   -0.578473    0.011272
         100     -0.5168   -0.577856   0.0111762
         101       -0.76   -0.579659   0.0112101
         102     -0.6848    -0.58069   0.0111475
         103     -0.7624   -0.582454    0.011178
         104     -0.5232   -0.581885    0.011085
         105       -0.68   -0.582819   0.0110187
         106     -0.6048   -0.583026   0.0109167
         107     -0.7664    -0.58474   0.0109484
         108     -0.6824   -0.585644   0.0108843
         109      -0.684   -0.586547   0.0108218
         110     -0.6848    -0.58744   0.0107602
         111     -0.6816   -0.588288   0.0106967
         112     -0.6032   -0.588421    0.010602
         113     -0.6872   -0.589296   0.0105441
         114     -0.6064   -0.589446   0.0104527
         115     -0.6016   -0.589551   0.0103623
         116     -0.6808   -0.590338   0.0103028
         117     -0.6792   -0.591097   0.0102427
         118     -0.5248   -0.590536   0.0101713
         119     -0.7648      -0.592   0.0101907
         120      -0.688     -0.5928   0.0101371
         121     -0.6832   -0.593547   0.0100809
         122     -0.4392   -0.592282   0.0100773
         123     -0.4424   -0.591063   0.0100688
         124     -0.5224    -0.59051   0.0100028
         125      -0.524   -0.589978  0.00993692
         126     -0.4448   -0.588825  0.00992463
         127      -0.364   -0.587055   0.0100031
         128     -0.5232   -0.586556   0.0099374
         129     -0.5208   -0.586047  0.00987343
         130     -0.6784   -0.586757  0.00982301
         131     -0.6776    -0.58745  0.00977247
         132      -0.672   -0.588091   0.0097194
         133     -0.5872   -0.588084  0.00964633
         134      -0.352   -0.586322   0.0097339
         135     -0.4392   -0.585233  0.00972261
         136      -0.596   -0.585312  0.00965145
         137     -0.5192   -0.584829  0.00959305
         138      -0.524   -0.584388  0.00953366
         139     -0.6072   -0.584553  0.00946649
         140     -0.5232   -0.584114  0.00940901
         141     -0.6104   -0.584301  0.00934412
         142     -0.7728   -0.585628  0.00937214
         143     -0.8512   -0.587485  0.00948882
         144     -0.6104   -0.587644  0.00942426
         145     -0.5288   -0.587239  0.00936799
