#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1         1.6         1.6           0
           2     1.11111     1.35556    0.172848
           3     2.84444     1.85185     0.42129
           4     2.17778     1.93333    0.323751
           5    0.177778     1.58222    0.407068
           6           0     1.31852     0.41596
           7     1.11111     1.28889    0.357591
           8     1.11111     1.26667    0.313581
           9    0.711111     1.20494     0.28475
          10     1.11111     1.19556    0.256429
          11     7.51111      1.7697    0.594992
          12         6.4     2.15556    0.658749
          13   0.0444444     1.99316    0.627774
          14     2.17778     2.00635    0.583071
          15   0.0444444     1.87556    0.558677
          16         1.6     1.85833    0.524025
          17     2.17778     1.87712    0.493537
          18           0     1.77284    0.477009
          19   0.0444444     1.68187    0.460495
          20    0.711111     1.63333    0.440021
          21    0.711111     1.58942    0.421253
          22     2.84444     1.64646     0.40595
          23         3.6      1.7314    0.397086
          24     4.44444     1.84444    0.396305
          25     5.37778     1.98578    0.404871
          26    0.177778     1.91624    0.395226
          27   0.0444444     1.84691     0.38662
          28    0.177778      1.7873     0.37738
          29   0.0444444      1.7272    0.369121
          30   0.0444444     1.67111    0.361054
          31         1.6     1.66882    0.349414
          32   0.0444444     1.61806    0.342162
          33         0.4     1.58114    0.333779
          34     1.11111     1.56732    0.324248
          35   0.0444444     1.52381     0.31789
          36    0.711111     1.50123     0.30986
          37    0.711111     1.47988     0.30222
          38         3.6     1.53567    0.299373
          39         6.4      1.6604    0.316614
          40   0.0444444        1.62    0.311266
          41    0.711111     1.59783    0.304462
          42         3.6      1.6455    0.300922
          43     2.17778     1.65788    0.294178
          44         1.6     1.65657    0.287495
          45         3.6     1.69975    0.284332
          46     2.84444     1.72464    0.279237
          47    0.711111     1.70307    0.274128
          48         1.6     1.70093    0.268425
          49     2.84444     1.72426     0.26396
          50   0.0444444     1.69067     0.26081
          51     2.17778     1.70022    0.255871
          52    0.177778     1.67094    0.252619
          53         1.6      1.6696    0.247857
          54   0.0444444     1.63951    0.245087
          55     2.17778     1.64929    0.240826
          56         1.6     1.64841    0.236527
          57     2.17778      1.6577     0.23256
          58     4.44444     1.70575    0.233461
          59     5.37778     1.76798    0.237655
          60         3.6     1.79852    0.235647
          61   0.0444444     1.76976    0.233532
          62         1.6     1.76703    0.229782
          63         0.4     1.74533    0.227157
          64         0.4     1.72431    0.224578
          65         0.4     1.70393    0.222045
          66         1.6     1.70236    0.218686
          67    0.711111     1.68756    0.215922
          68   0.0444444      1.6634    0.214095
          69         0.4     1.64509    0.211773
          70    0.711111     1.63175    0.209168
          71         3.6     1.65947    0.208051
          72    0.177778     1.63889    0.206176
          73     2.17778     1.64627    0.203484
          74    0.711111     1.63363    0.201126
          75         0.4     1.61719    0.199116
          76   0.0444444     1.59649    0.197569
          77         0.4     1.58095    0.195613
          78         0.4     1.56581     0.19369
          79   0.0444444     1.54655    0.192193
          80    0.711111     1.53611    0.190074
          81    0.711111     1.52593    0.188001
          82     4.44444     1.56152    0.189047
          83         6.4     1.61981    0.195551
          84    0.711111     1.60899    0.193522
          85    0.711111     1.59843    0.191533
          86           0     1.57984    0.190206
          87         0.4     1.56628    0.188502
          88         0.4     1.55303    0.186825
          89    0.711111     1.54357    0.184966
          90         0.4     1.53086    0.183346
          91         0.4     1.51844    0.181752
          92     1.11111     1.51401    0.179831
