#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       -0.68       -0.68           0
           2       -0.84       -0.76   0.0565685
           3       -0.84   -0.786667   0.0435465
           4       -0.84        -0.8    0.034641
           5       -0.84      -0.808   0.0286217
           6       -0.84   -0.813333   0.0243432
           7       -0.84   -0.817143   0.0211616
           8       -0.84       -0.82   0.0187083
           9       -0.84   -0.822222    0.016761
          10       -0.84      -0.824   0.0151789
          11       -0.84   -0.825455   0.0138685
          12       -0.84   -0.826667   0.0127657
          13       -0.84   -0.827692   0.0118248
          14       -0.84   -0.828571   0.0110128
          15       -0.84   -0.829333    0.010305
          16       -0.68       -0.82   0.0132288
          17       -0.76   -0.816471   0.0129128
          18       -0.76   -0.813333   0.0125708
          19       -0.68   -0.806316   0.0137289
          20       -0.76      -0.804   0.0132363
          21       -0.84   -0.805714   0.0127165
          22       -0.76   -0.803636   0.0123071
          23       -0.76   -0.801739   0.0119174
          24       -0.76        -0.8    0.011547
          25       -0.76     -0.7984   0.0111954
          26       -0.68   -0.793846   0.0116543
          27       -0.68    -0.78963   0.0119611
          28       -0.68   -0.785714   0.0121579
          29       -0.76   -0.784828   0.0117709
          30       -0.76      -0.784   0.0114076
          31       -0.76   -0.783226   0.0110659
          32       -0.76     -0.7825   0.0107438
          33       -0.76   -0.781818   0.0104399
          34       -0.76   -0.781176   0.0101525
          35       -0.84   -0.782857   0.0100006
          36       -0.76   -0.782222  0.00974292
          37       -0.68   -0.779459  0.00986354
          38       -0.76   -0.778947  0.00961726
          39       -0.76   -0.778462  0.00938292
          40       -0.84       -0.78  0.00927362
          41       -0.84   -0.781463  0.00916217
          42       -0.76   -0.780952  0.00895827
          43       -0.76   -0.780465  0.00876318
          44       -0.68   -0.778182  0.00885648
          45       -0.68      -0.776  0.00892437
          46       -0.68   -0.773913  0.00897106
          47       -0.68   -0.771915  0.00899997
          48       -0.76   -0.771667  0.00881589
          49       -0.76   -0.771429  0.00863919
          50       -0.84     -0.7728  0.00857457
          51       -0.84   -0.774118  0.00850708
          52       -0.84   -0.775385   0.0084373
          53       -0.84   -0.776604  0.00836572
          54       -0.84   -0.777778  0.00829277
          55       -0.92   -0.780364  0.00853564
          56       -0.84   -0.781429  0.00844939
          57       -0.84   -0.782456   0.0083634
          58       -0.76   -0.782069  0.00822816
          59       -0.76   -0.781695   0.0080972
          60       -0.84   -0.782667  0.00802034
          61       -0.84   -0.783607  0.00794374
          62       -0.84   -0.784516  0.00786752
          63       -0.84   -0.785397  0.00779178
          64       -0.76      -0.785  0.00768013
          65       -0.76   -0.784615   0.0075716
          66       -0.76   -0.784242  0.00746606
          67       -0.76   -0.783881  0.00736338
          68       -0.76   -0.783529  0.00726347
          69       -0.76   -0.783188   0.0071662
