#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1        0.16        0.16           0
           2        0.04         0.1   0.0424264
           3        0.04        0.08   0.0326599
           4        0.64        0.22    0.123693
           5        1.96       0.568    0.326612
           6        0.64        0.58    0.272397
           7        0.16        0.52        0.24
           8        0.16       0.475    0.214177
           9        0.64    0.493333    0.191163
          10        1.44       0.588    0.194076
          11        0.16    0.549091    0.180291
          12        0.16    0.516667    0.168157
          13        3.24    0.726154    0.254171
          14        1.96    0.814286    0.250831
          15        1.96    0.890667    0.245463
          16        0.36      0.8575    0.232351
          17        0.16    0.816471    0.222277
          18        3.24    0.951111    0.247367
          19        0.36        0.92    0.236296
          20        0.04       0.876    0.228541
          21        0.64    0.864762    0.217935
          22           0    0.825455    0.211544
          23        0.64    0.817391      0.2025
          24           0    0.783333    0.196905
          25        0.16      0.7584    0.190601
          26        0.16    0.735385    0.184655
          27           0    0.708148    0.179813
          28           1    0.718571    0.173693
          29        1.44    0.743448    0.169476
          30        1.96       0.784    0.168608
          31        0.04        0.76    0.164869
          32        0.16     0.74125    0.160779
          33           0    0.718788    0.157468
          34        0.04    0.698824    0.154097
          35           1    0.707429    0.149935
          36           0    0.687778    0.147052
          37        0.04     0.67027    0.144116
          38           1    0.678947    0.140584
          39        0.64    0.677949    0.136983
          40           0       0.661    0.134603
          41        1.96    0.692683    0.134997
          42        3.24    0.753333    0.144768
          43        3.24    0.811163    0.152515
          44        1.44    0.825455    0.149716
          45        0.04       0.808    0.147403
          46        0.36    0.798261     0.14452
          47           0    0.781277     0.14244
          48        4.84    0.865833    0.162645
          49        0.16    0.851429    0.159963
          50        0.64      0.8472    0.156819
          51        0.64    0.843137    0.153797
          52        0.36    0.833846     0.15112
          53           0    0.818113    0.149085
          54        2.56     0.85037    0.149773
          55        0.16    0.837818    0.147575
          56           1    0.840714    0.144968
          57        0.16    0.828772    0.142916
          58           0    0.814483    0.141165
          59        0.04    0.801356    0.139381
          60        0.64    0.798667    0.137084
          61        0.16    0.788197    0.135236
          62           0    0.775484    0.133651
          63           0    0.763175    0.132095
          64        1.44     0.77375    0.130454
          65           1    0.777231    0.128493
          66        0.04    0.766061    0.127031
          67        0.04    0.755224    0.125596
          68        0.16    0.746471    0.124054
          69           4    0.793623    0.130911
          70        6.76    0.878857    0.154313
          71        6.76     0.96169    0.172948
          72        1.96    0.975556    0.171101
          73        0.64    0.970959    0.168819
          74        1.44    0.977297    0.166657
          75        0.64      0.9728    0.164495
          76        5.76     1.03579    0.173974
          77        4.84     1.08519    0.178592
          78        0.04     1.07179    0.176804
          79        0.64     1.06633     0.17465
          80        2.56       1.085    0.173462
          81           0      1.0716    0.171837
          82        0.36     1.06293    0.169961
          83        0.36     1.05446    0.168124
          84        0.36     1.04619    0.166325
          85        1.44     1.05082    0.164433
          86        0.16     1.04047    0.162847
          87        1.44     1.04506     0.16104
          88        0.16       1.035    0.159524
          89           0     1.02337    0.158155
          90           1     1.02311    0.156398
          91        1.44     1.02769    0.154746
          92           4        1.06      0.1564
          93           1     1.05935     0.15472
          94        7.84     1.13149    0.169055
          95        4.84     1.17053    0.171724
          96        0.16        1.16    0.170257
          97        0.16     1.14969    0.168814
          98        0.16     1.13959    0.167393
          99        2.56     1.15394    0.166316
         100        0.04      1.1428    0.165025
         101        0.64     1.13782    0.163466
         102           1     1.13647    0.161869
         103        1.96     1.14447    0.160495
         104           1     1.14308    0.158958
         105        0.04     1.13257    0.157791
         106        0.16      1.1234    0.156569
         107        0.04     1.11327    0.155433
         108        1.44      1.1163    0.154023
         109        0.16     1.10752     0.15286
         110           1     1.10655    0.151473
         111        1.44     1.10955    0.150138
         112        2.56      1.1225    0.149355
         113        3.24     1.14124    0.149204
         114        0.36     1.13439    0.148053
         115           0     1.12452    0.147094
         116        0.04     1.11517    0.146122
         117           0     1.10564    0.145184
         118        0.36     1.09932    0.144091
         119        0.36     1.09311    0.143014
         120        0.04     1.08433    0.142091
         121        1.96     1.09157    0.141101
         122           1     1.09082    0.139947
         123        0.64     1.08715    0.138857
         124        0.64     1.08355    0.137784
         125        0.64        1.08    0.136727
         126        1.96     1.08698     0.13582
         127        1.44     1.08976    0.134779
         128        0.36     1.08406    0.133847
         129        1.44     1.08682    0.132838
         130           1     1.08615    0.131818
         131           0     1.07786    0.131072
         132        0.16     1.07091    0.130263
         133        2.56     1.08211    0.129764
         134        0.04     1.07433    0.129029
         135        0.36     1.06904    0.128181
         136        0.04     1.06147    0.127462
         137        0.16     1.05489    0.126701
         138        0.36     1.04986    0.125883
         139        0.36     1.04489    0.125075
         140           0     1.03743    0.124404
         141           0     1.03007    0.123739
         142        0.36     1.02535    0.122958
         143        0.04     1.01846    0.122291
         144        0.36     1.01389    0.121527
         145        0.16       1.008    0.120832
         146        0.04     1.00137    0.120186
         147        0.16    0.995646    0.119505
         148        0.36    0.991351    0.118774
         149           1    0.991409    0.117977
         150           0      0.9848    0.117376
         151        1.44    0.987815    0.116637
         152        0.04    0.981579    0.116036
         153        1.96    0.987974    0.115454
         154           4     1.00753    0.116349
         155           4     1.02684    0.117189
         156        4.84     1.05128     0.11896
         157        1.96     1.05707    0.118343
         158        1.44     1.05949    0.117619
         159        0.64     1.05686    0.116909
         160           4     1.07525    0.117616
         161        2.56     1.08447    0.117247
         162           1     1.08395    0.116524
         163        0.64     1.08123    0.115841
         164        0.04     1.07488    0.115308
         165        0.16     1.06933    0.114743
         166        0.04     1.06313    0.114219
         167           4     1.08072    0.114881
         168        1.44     1.08286    0.114217
         169        0.16      1.0774    0.113672
         170        0.04     1.07129    0.113167
         171        0.16     1.06596     0.11263
         172        0.36     1.06186     0.11205
         173        0.64     1.05942    0.111429
         174           4     1.07632    0.112063
         175           0     1.07017    0.111591
         176           1     1.06977    0.110958
         177           1     1.06938    0.110332
         178        0.04      1.0636    0.109863
         179        0.36     1.05966     0.10932
         180           0     1.05378    0.108871
         181        0.64     1.05149    0.108293
         182           1     1.05121    0.107699
         183           0     1.04546    0.107263
         184        0.36     1.04174    0.106745
         185        1.96      1.0467    0.106283
         186        1.96     1.05161    0.105825
         187        1.44     1.05369     0.10528
         188        1.44     1.05574     0.10474
         189        1.96     1.06053    0.104295
         190        0.36     1.05684    0.103811
         191        0.64     1.05466    0.103291
         192           1     1.05438    0.102753
         193           4     1.06964    0.103348
         194        2.56     1.07732      0.1031
         195        3.24     1.08841    0.103166
         196        1.96     1.09286    0.102736
         197        1.96     1.09726    0.102308
         198        0.04     1.09192    0.101931
         199        0.16     1.08724    0.101526
         200        0.16      1.0826    0.101125
         201        0.16     1.07801    0.100726
         202        0.36     1.07446     0.10029
         203        0.16     1.06995   0.0998967
         204           1     1.06961   0.0994076
         205        0.16     1.06517   0.0990216
         206        0.16     1.06078   0.0986384
         207           0     1.05565   0.0982949
         208           1     1.05538   0.0978227
         209        0.04     1.05053   0.0974752
         210        1.44     1.05238   0.0970287
         211           1     1.05213   0.0965691
         212        0.16     1.04792   0.0962053
         213        0.64     1.04601   0.0957727
         214           0     1.04112   0.0954498
         215        2.56     1.04819   0.0952669
         216        0.36       1.045   0.0948791
         217        0.04     1.04037   0.0945548
         218        0.04     1.03578   0.0942324
         219        0.04     1.03123   0.0939117
