# DISTANCE:     AVE_GOFR:        ERROR:
0           0           0
0.0256496           0           0
0.0512993           0           0
0.0769489           0           0
0.102599           0           0
0.128248           0           0
0.153898           0           0
0.179547           0           0
0.205197           0           0
0.230847           0           0
0.256496           0           0
0.282146           0           0
0.307796           0           0
0.333445           0           0
0.359095           0           0
0.384745           0           0
0.410394           0           0
0.436044           0           0
0.461694           0           0
0.487343           0           0
0.512993           0           0
0.538642           0           0
0.564292           0           0
0.589942           0           0
0.615591           0           0
0.641241           0           0
0.666891           0           0
0.69254           0           0
0.71819           0           0
0.74384           0           0
0.769489           0           0
0.795139           0           0
0.820788           0           0
0.846438 3.24205e-06 3.18756e-06
0.872088  0.00115243 9.22825e-05
0.897737   0.0243148 0.000422852
0.923387    0.163895  0.00128878
0.949037    0.562234  0.00311234
0.974686     1.20132  0.00427912
1.00034     1.86527  0.00559439
1.02599     2.33279  0.00506744
1.05164     2.55339  0.00364211
1.07728     2.54621  0.00344395
1.10293     2.40422  0.00442044
1.12858     2.19856  0.00342358
1.15423     1.97125  0.00371606
1.17988     1.75627  0.00377997
1.20553     1.55998  0.00344609
1.23118     1.39176  0.00305185
1.25683     1.24191  0.00278355
1.28248     1.12206  0.00306868
1.30813     1.02598  0.00242643
1.33378     0.94321  0.00250189
1.35943    0.873415   0.0019678
1.38508    0.818538  0.00156794
1.41073    0.777755  0.00155104
1.43638    0.739667  0.00191237
1.46203    0.713118  0.00153169
1.48768    0.692744  0.00197835
1.51333    0.679112  0.00204546
1.53898    0.673187  0.00195836
1.56463    0.672447  0.00193821
1.59028    0.677182  0.00145331
1.61593    0.687457   0.0017546
1.64158    0.703659  0.00211381
1.66723    0.724173  0.00220458
1.69288    0.750495  0.00208614
1.71853    0.779816   0.0018301
1.74418    0.812848  0.00156198
1.76983    0.850786  0.00180687
1.79547    0.893673  0.00146881
1.82112    0.933862     0.00173
1.84677    0.973785  0.00181541
1.87242      1.0164  0.00199459
1.89807     1.05606  0.00189562
1.92372     1.09236  0.00237473
1.94937     1.12707  0.00198863
1.97502     1.15883   0.0015004
2.00067     1.18333   0.0015081
2.02632     1.20002  0.00193266
2.05197     1.21452  0.00153269
2.07762      1.2136  0.00166329
2.10327     1.20904  0.00183662
2.12892     1.19529  0.00178511
2.15457     1.17554  0.00225261
2.18022     1.15016  0.00171263
2.20587     1.12475   0.0022129
2.23152     1.09746  0.00202425
2.25717     1.06782  0.00145528
2.28282     1.04027  0.00170697
2.30847     1.01451  0.00164692
2.33412     0.99091  0.00196058
2.35977    0.968937  0.00168718
2.38542    0.951443  0.00150592
2.41107    0.933388  0.00146192
2.43672      0.9207  0.00137938
2.46237    0.910327  0.00156306
2.48802     0.89698  0.00151234
2.51366     0.88744  0.00127441
2.53931    0.888781  0.00130207
