#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.60608     1.60608           0
           2     1.41651     1.51129   0.0670237
           3     1.54858     1.52372   0.0458207
           4     1.50503     1.51905   0.0346029
           5     1.44116     1.50347   0.0309907
           6     1.39883     1.48603    0.030339
           7     1.51657     1.49039   0.0263166
           8     1.55618     1.49862    0.024278
           9     1.50489     1.49931   0.0215904
          10     1.60184     1.50957   0.0217296
