#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.10863     1.10863           0
           2      1.1172     1.11291  0.00302831
           3     1.09046     1.10543  0.00643482
           4     1.10813      1.1061  0.00486128
           5     1.12507      1.1099  0.00516152
           6     1.12192      1.1119  0.00467424
           7     1.10371     1.11073  0.00415037
           8     1.11047      1.1107   0.0036317
           9     1.10258      1.1098  0.00333838
          10      1.1021     1.10903  0.00309209
