#   N_BLOCK:  ACCEPTANCE:
           1     0.51162
           2    0.511742
           3    0.512162
           4    0.511953
           5     0.51206
           6    0.511899
           7    0.511823
           8    0.511681
           9    0.511624
          10    0.511234
          11    0.511198
          12    0.511397
          13    0.511452
          14    0.511514
          15    0.511302
          16    0.511246
          17    0.511248
          18    0.511221
          19    0.511235
          20    0.510908
          21    0.510842
          22    0.510753
          23    0.510891
          24    0.510838
          25    0.510969
          26    0.510879
          27    0.510891
          28    0.510812
          29    0.510849
          30    0.510867
