# DISTANCE:     AVE_GOFR:        ERROR:
0           0           0
0.0256496           0           0
0.0512993           0           0
0.0769489           0           0
0.102599           0           0
0.128248           0           0
0.153898           0           0
0.179547           0           0
0.205197           0           0
0.230847           0           0
0.256496           0           0
0.282146           0           0
0.307796           0           0
0.333445           0           0
0.359095           0           0
0.384745           0           0
0.410394           0           0
0.436044           0           0
0.461694           0           0
0.487343           0           0
0.512993           0           0
0.538642           0           0
0.564292           0           0
0.589942           0           0
0.615591           0           0
0.641241           0           0
0.666891           0           0
0.69254           0           0
0.71819           0           0
0.74384           0           0
0.769489           0           0
0.795139           0           0
0.820788           0           0
0.846438 1.91966e-08 1.29567e-08
0.872088 6.27466e-07 8.32511e-08
0.897737 1.64964e-05 3.83288e-07
0.923387 0.000109676 1.91467e-06
0.949037 0.000370509 4.84628e-06
0.974686 0.000782369 3.09288e-06
1.00034  0.00122471 4.65187e-06
1.02599  0.00153159 6.54949e-06
1.05164  0.00167754 4.48622e-06
1.07728  0.00167154 3.88124e-06
1.10293  0.00158536  3.4633e-06
1.12858  0.00144767 4.77644e-06
1.15423  0.00130401 2.55431e-06
1.17988  0.00116194 6.03559e-06
1.20553  0.00102768 4.73461e-06
1.23118 0.000912144 3.04529e-06
1.25683 0.000820679 4.12016e-06
1.28248 0.000742715 2.76959e-06
1.30813 0.000672216 2.87551e-06
1.33378  0.00061796  2.2848e-06
1.35943  0.00056921 2.78671e-06
1.38508 0.000539885 2.76108e-06
1.41073 0.000511417 1.85082e-06
1.43638 0.000488885 1.95678e-06
1.46203 0.000466066 2.36809e-06
1.48768 0.000455874 1.67857e-06
1.51333  0.00044853 2.48135e-06
1.53898  0.00044307 2.14056e-06
1.56463 0.000441913 2.46044e-06
1.59028 0.000446185 2.15816e-06
1.61593 0.000450812  2.1361e-06
1.64158 0.000460418 2.49239e-06
1.66723 0.000476899 2.27055e-06
1.69288 0.000490686 1.33352e-06
1.71853 0.000511891 1.48552e-06
1.74418 0.000536641 1.70907e-06
1.76983 0.000559547 1.73943e-06
1.79547 0.000588314  2.3775e-06
1.82112 0.000614571 1.39592e-06
1.84677 0.000640307 1.70656e-06
1.87242  0.00066917 2.30126e-06
1.89807  0.00069502 1.77546e-06
1.92372 0.000720256  1.4949e-06
1.94937 0.000743855 1.52476e-06
1.97502 0.000763835 1.23104e-06
2.00067 0.000778786    1.72e-06
2.02632 0.000793684 1.03985e-06
2.05197 0.000800196 1.52818e-06
2.07762 0.000800275 2.40778e-06
2.10327 0.000795044 1.66529e-06
2.12892 0.000787072 1.63767e-06
2.15457 0.000775256 1.60772e-06
2.18022  0.00075787 1.20724e-06
2.20587 0.000738157  8.7165e-07
2.23152 0.000721278 1.61459e-06
2.25717 0.000701499 2.31068e-06
2.28282 0.000686536 1.86783e-06
2.30847 0.000666309 1.75803e-06
2.33412 0.000650626 1.37529e-06
2.35977 0.000637167 2.02376e-06
2.38542 0.000623114 1.33347e-06
2.41107 0.000613163 1.57831e-06
2.43672 0.000604506 1.72119e-06
2.46237 0.000598283 1.91485e-06
2.48802 0.000588157 1.87855e-06
2.51366 0.000581331 1.87915e-06
2.53931 0.000581626 1.43817e-06
