#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.45041    -5.45041           0
           2    -5.46352    -5.45696  0.00463668
           3    -5.46535    -5.45976  0.00384324
           4    -5.50866    -5.47199   0.0109727
           5    -5.46696    -5.47098  0.00882403
           6     -5.4836    -5.47308  0.00759987
           7    -5.45095    -5.46992  0.00714166
           8    -5.47847    -5.47099  0.00632833
           9    -5.44111    -5.46767   0.0064377
          10    -5.45972    -5.46688  0.00584284
