#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.43915     1.43915           0
           2      1.3816     1.41037   0.0203444
           3     1.28243     1.36773   0.0373707
           4      1.2886     1.34795   0.0328483
           5     1.41928     1.36221   0.0292129
           6     1.34361     1.35911    0.024508
           7     1.34436       1.357   0.0210973
           8     1.35775      1.3571   0.0184603
           9     1.40239     1.36213   0.0170815
          10     1.59459     1.38538   0.0268828
          11     1.41021     1.38763   0.0245335
          12      1.1783     1.37019   0.0280129
          13     1.41467     1.37361   0.0260661
          14     1.25373     1.36505   0.0255722
          15     1.49774     1.37389   0.0253513
          16     1.40118      1.3756   0.0238241
          17     1.32301     1.37251   0.0226226
          18     1.35788     1.37169   0.0213804
          19     1.40496     1.37344   0.0203267
          20     1.54883     1.38221   0.0211174
          21     1.47704     1.38673   0.0205889
          22     1.38727     1.38675   0.0196531
          23     1.37557     1.38627   0.0188046
          24     1.43693     1.38838   0.0181392
          25     1.27269     1.38375   0.0179942
          26     1.39254     1.38409   0.0173053
          27     1.34973     1.38282   0.0167111
          28     1.47212     1.38601   0.0164158
          29     1.45662     1.38844   0.0160293
          30     1.37029     1.38784   0.0155064
