#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        1.11        1.11           0
           2        1.11        1.11           0
           3        1.11        1.11           0
           4        1.11        1.11           0
           5        1.11        1.11           0
           6        1.11        1.11           0
           7        1.11        1.11 5.63211e-09
           8        1.11        1.11           0
           9        1.11        1.11           0
          10        1.11        1.11 4.71216e-09
