# DISTANCE:     AVE_GOFR:        ERROR:
0           0           0
0.0256496           0           0
0.0512993           0           0
0.0769489           0           0
0.102599           0           0
0.128248           0           0
0.153898           0           0
0.179547           0           0
0.205197           0           0
0.230847           0           0
0.256496           0           0
0.282146           0           0
0.307796           0           0
0.333445           0           0
0.359095           0           0
0.384745           0           0
0.410394           0           0
0.436044           0           0
0.461694           0           0
0.487343           0           0
0.512993           0           0
0.538642           0           0
0.564292           0           0
0.589942           0           0
0.615591           0           0
0.641241           0           0
0.666891           0           0
0.69254           0           0
0.71819           0           0
0.74384           0           0
0.769489           0           0
0.795139           0           0
0.820788           0           0
0.846438           0           0
0.872088 9.71365e-07 3.71375e-07
0.897737 1.79152e-05 1.64489e-06
0.923387   0.0001165 2.62517e-06
0.949037 0.000391226  3.0118e-06
0.974686 0.000799258 7.69078e-06
1.00034  0.00123427 9.51999e-06
1.02599  0.00152996 1.11613e-05
1.05164  0.00167667 1.16973e-05
1.07728  0.00168178 1.32277e-05
1.10293  0.00156993 1.72038e-05
1.12858  0.00145427 1.66459e-05
1.15423  0.00127488 8.87456e-06
1.17988  0.00115276 8.54615e-06
1.20553  0.00101984 7.60817e-06
1.23118 0.000907067 8.41559e-06
1.25683 0.000822945  1.1296e-05
1.28248 0.000734566 1.09213e-05
1.30813 0.000665374 7.65423e-06
1.33378  0.00062462 9.27823e-06
1.35943 0.000576489  4.9725e-06
1.38508 0.000527252 7.67736e-06
1.41073 0.000504642 7.75243e-06
1.43638 0.000485882 8.62425e-06
1.46203  0.00047376 5.96821e-06
1.48768 0.000450703 6.09223e-06
1.51333 0.000438111 4.97169e-06
1.53898  0.00043515 4.83608e-06
1.56463 0.000449756 7.55249e-06
1.59028 0.000454241 6.30367e-06
1.61593  0.00045806 7.85078e-06
1.64158 0.000456767 5.15472e-06
1.66723 0.000473563 4.90657e-06
1.69288 0.000496907 5.51295e-06
1.71853 0.000512269 5.08672e-06
1.74418 0.000536961 4.26216e-06
1.76983 0.000562068 4.90683e-06
1.79547 0.000581825 3.57718e-06
1.82112  0.00061722 5.29209e-06
1.84677 0.000652126 4.91223e-06
1.87242 0.000675168 7.05308e-06
1.89807 0.000699575 7.10713e-06
1.92372 0.000725181 6.51707e-06
1.94937 0.000751336 5.32071e-06
1.97502 0.000763323 5.69161e-06
2.00067 0.000775893 4.51143e-06
2.02632 0.000791588 9.38435e-06
2.05197 0.000793174 7.16413e-06
2.07762 0.000803508 7.01896e-06
2.10327 0.000796634  7.3536e-06
2.12892 0.000786162  4.1852e-06
2.15457 0.000775963 5.37554e-06
2.18022 0.000757962 4.50981e-06
2.20587 0.000743806  7.5818e-06
2.23152 0.000720158 3.76814e-06
2.25717  0.00070351 5.51883e-06
2.28282 0.000682008 3.05691e-06
2.30847 0.000667027 3.79951e-06
2.33412 0.000652575 4.54629e-06
2.35977 0.000635646 3.11065e-06
2.38542 0.000620177 4.74047e-06
2.41107 0.000604962 5.02608e-06
2.43672 0.000595414 3.64567e-06
2.46237 0.000583567 2.88916e-06
2.48802 0.000582567 3.46989e-06
2.51366 0.000582944 2.94341e-06
2.53931 0.000588034 5.02698e-06
