#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.42665    -5.42665           0
           2    -5.44664    -5.43664  0.00706825
           3    -5.42952    -5.43427  0.00509514
           4    -5.38395    -5.42169   0.0115444
           5    -5.41924     -5.4212  0.00924593
           6    -5.46673    -5.42879   0.0103607
           7    -5.43836    -5.43015  0.00897043
           8    -5.45249    -5.43295  0.00827214
           9    -5.41225    -5.43065  0.00766599
          10    -5.43913     -5.4315  0.00694622
          11    -5.46326    -5.43438  0.00688875
          12    -5.46028    -5.43654   0.0066441
          13    -5.43435    -5.43637  0.00613515
          14    -5.44223    -5.43679  0.00571115
          15    -5.43125    -5.43642  0.00534234
          16    -5.43058    -5.43606  0.00502092
          17    -5.39524    -5.43366  0.00526832
          18    -5.42374     -5.4331  0.00500437
          19    -5.46093    -5.43457  0.00495067
          20    -5.43673    -5.43468  0.00470431
          21    -5.46528    -5.43613  0.00470056
          22    -5.40525    -5.43473  0.00469178
          23    -5.46207    -5.43592  0.00463593
          24     -5.4416    -5.43616  0.00444881
          25    -5.41328    -5.43524  0.00436391
          26    -5.45893    -5.43615  0.00429012
          27    -5.43677    -5.43617  0.00413129
          28    -5.43718    -5.43621   0.0039839
          29    -5.45775    -5.43695  0.00391517
          30    -5.47156    -5.43811  0.00395094
