#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.57786     1.57786           0
           2     1.39831     1.48809     0.06348
           3     1.50386     1.49334   0.0425372
           4     1.86465     1.58617   0.0864884
           5     1.56057     1.58105   0.0693421
           6     1.39287     1.54969   0.0644892
           7     1.60608     1.55774   0.0557773
           8     1.41651     1.54009   0.0515234
           9     1.54858     1.54103   0.0458072
          10     1.50503     1.53743   0.0413677
          11     1.44116     1.52868   0.0385216
          12     1.39883     1.51786      0.0368
          13     1.51657     1.51776   0.0339693
          14     1.55618      1.5205   0.0316536
          15     1.50489     1.51946   0.0295605
          16     1.60184     1.52461   0.0281577
          17     1.67722     1.53359   0.0278956
          18     1.49085     1.53121   0.0264468
          19     1.41459     1.52507   0.0257573
          20     1.56604     1.52712   0.0245507
          21     1.31213     1.51689   0.0254268
          22     1.77735     1.52872   0.0268864
          23     1.50045      1.5275   0.0257455
          24     1.54308     1.52814    0.024681
          25     1.60699      1.5313   0.0238944
          26     1.49557     1.52992   0.0230149
          27     1.48666     1.52832   0.0222182
          28     1.72374      1.5353   0.0224941
          29     1.39824     1.53057   0.0222095
          30     1.50312     1.52966    0.021488
