#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1       1.101       1.101           0
           2     1.11241     1.10671  0.00403458
           3     1.10244     1.10529  0.00292962
           4     1.07226     1.09703  0.00748133
           5     1.09386     1.09639  0.00601183
           6     1.12588     1.10131   0.0067253
           7     1.10863     1.10236  0.00584528
           8      1.1172     1.10421  0.00540094
           9     1.09046     1.10268  0.00501218
          10     1.10813     1.10323  0.00454041
          11     1.12507     1.10521  0.00454131
          12     1.12192     1.10661  0.00437115
          13     1.10371     1.10638  0.00404057
          14     1.11047     1.10668  0.00376251
          15     1.10258      1.1064  0.00352157
          16      1.1021     1.10613  0.00331174
          17     1.07937     1.10456  0.00347103
          18     1.09732     1.10416  0.00330139
          19     1.12232     1.10511  0.00326305
          20     1.10578     1.10515  0.00310007
          21     1.12625     1.10615  0.00311113
          22     1.08807     1.10533  0.00307635
          23     1.12447     1.10616  0.00305305
          24     1.11009     1.10633  0.00293023
          25     1.09187     1.10575  0.00286949
          26     1.12059     1.10632  0.00281531
          27     1.10826     1.10639  0.00271196
          28     1.10807     1.10645  0.00261578
          29      1.1206     1.10694   0.0025707
          30     1.12913     1.10768  0.00258924
