#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -6.89323    -6.89323           0
           2    -6.89307    -6.89315 5.64771e-05
           3    -6.89291    -6.89307 7.64197e-05
           4    -6.89278      -6.893 8.57758e-05
           5    -6.89266    -6.89293 9.17737e-05
           6    -6.89251    -6.89286 9.96599e-05
           7    -6.89237    -6.89279 0.000107371
           8    -6.89225    -6.89272 0.000113055
           9    -6.89202    -6.89264 0.000124788
          10    -6.89178    -6.89256 0.000139273
          11    -6.89168    -6.89248 0.000147874
          12     -6.8915     -6.8924 0.000156367
          13    -6.89136    -6.89232  0.00016354
          14    -6.89116    -6.89223 0.000171568
          15    -6.89101    -6.89215 0.000178492
          16    -6.89087    -6.89207 0.000184518
          17    -6.89071    -6.89199 0.000190339
          18    -6.89055    -6.89191 0.000195907
          19    -6.89043    -6.89183 0.000200425
          20     -6.8902    -6.89175 0.000206433
          21    -6.88995    -6.89167 0.000213773
          22     -6.8897    -6.89158 0.000221925
          23    -6.88961    -6.89149 0.000228188
          24    -6.88952    -6.89141 0.000233036
          25    -6.88931    -6.89132 0.000238363
          26     -6.8892    -6.89124 0.000242836
          27    -6.88892    -6.89116 0.000248644
          28    -6.88877    -6.89107 0.000253964
          29    -6.88874    -6.89099 0.000257565
          30    -6.88863    -6.89091  0.00026076
          31     -6.8884    -6.89083 0.000264599
          32    -6.88819    -6.89075 0.000268909
          33    -6.88814    -6.89067 0.000272134
          34    -6.88778    -6.89058 0.000277102
          35    -6.88753     -6.8905 0.000282606
          36    -6.88722    -6.89041 0.000289081
          37    -6.88706    -6.89032 0.000295056
          38    -6.88691    -6.89023 0.000300624
          39    -6.88688    -6.89014 0.000304885
          40     -6.8866    -6.89005 0.000309829
          41    -6.88646    -6.88996 0.000314395
          42    -6.88643    -6.88988 0.000318002
          43    -6.88628     -6.8898 0.000321463
          44    -6.88604    -6.88971 0.000325279
          45    -6.88591    -6.88963 0.000328843
          46    -6.88566    -6.88954  0.00033278
          47    -6.88553    -6.88945 0.000336481
          48    -6.88536    -6.88937 0.000340106
          49    -6.88539    -6.88929 0.000342705
          50    -6.88513    -6.88921 0.000345811
          51    -6.88518    -6.88913 0.000347908
          52    -6.88497    -6.88905 0.000350272
          53    -6.88495    -6.88897 0.000352079
          54    -6.88475    -6.88889 0.000354113
          55     -6.8846    -6.88881 0.000356149
          56     -6.8846    -6.88874 0.000357635
