#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -5.29255    -5.29255           0
           2    -5.29009    -5.29132 0.000867631
           3    -5.28608    -5.28957  0.00153805
           4    -5.28052    -5.28731  0.00227475
           5     -5.2734    -5.28453  0.00308328
           6    -5.26471    -5.28122  0.00396118
           7    -5.25446     -5.2774  0.00490514
           8    -5.24263    -5.27305   0.0059122
           9     -5.2292    -5.26818  0.00697985
          10    -5.21418    -5.26278  0.00810606
          11    -5.19753    -5.25685   0.0092892
          12    -5.17925    -5.25038    0.010528
          13    -5.15883    -5.24334   0.0118415
          14    -5.13722    -5.23576   0.0132008
          15    -5.11365    -5.22762   0.0146168
          16    -5.08788    -5.21889   0.0161024
          17    -5.06035    -5.20956   0.0176502
          18    -5.03128    -5.19966   0.0192492
          19    -5.00037    -5.18917   0.0208992
          20    -4.96736    -5.17808   0.0226061
          21    -4.93294     -5.1664   0.0243577
          22    -4.89562     -5.1541   0.0261764
          23    -4.85655    -5.14116   0.0280534
          24    -4.81571     -5.1276   0.0299834
          25    -4.77231    -5.11339   0.0319751
          26     -4.7268    -5.09852   0.0340272
          27     -4.6796      -5.083   0.0361315
          28    -4.62923     -5.0668   0.0383035
          29    -4.57732    -5.04992   0.0405313
          30    -4.52237    -5.03233   0.0428254
          31    -4.46601    -5.01406   0.0451727
          32    -4.40626    -4.99507    0.047587
          33    -4.34452    -4.97536    0.050062
          34    -4.28049    -4.95492    0.052596
          35    -4.21484    -4.93377   0.0551803
          36    -4.14608    -4.91189    0.057823
          37    -4.07369    -4.88924   0.0605355
          38    -3.99931    -4.86582   0.0633107
          39     -3.9212     -4.8416   0.0661585
          40    -3.84079    -4.81658   0.0690739
          41    -3.75732    -4.79074    0.072059
          42    -3.67149     -4.7641   0.0751094
          43     -3.5833    -4.73663   0.0782216
          44      -3.492    -4.70835    0.081398
          45    -3.39787    -4.67923   0.0846385
          46    -3.30162    -4.64928   0.0879373
          47    -3.20378    -4.61852   0.0912862
          48    -3.10151    -4.58692   0.0946974
          49    -2.99703    -4.55447   0.0981662
          50    -2.88947    -4.52117    0.101694
          51    -2.78035    -4.48704    0.105273
          52    -2.66787    -4.45205    0.108906
          53    -2.55286    -4.41622    0.112593
          54    -2.43621    -4.37955    0.116325
          55    -2.31808    -4.34207    0.120097
          56    -2.19864     -4.3038    0.123901
          57    -2.07688    -4.26473    0.127739
          58    -1.95421    -4.22489    0.131602
          59    -1.82965    -4.18429    0.135488
          60    -1.70462    -4.14297    0.139391
          61    -1.57839    -4.10092    0.143306
          62    -1.45169    -4.05819    0.147227
          63    -1.32571    -4.01482    0.151144
          64    -1.19973    -3.97084    0.155051
          65    -1.07352    -3.92626    0.158943
          66   -0.947794    -3.88113    0.162816
          67   -0.821813    -3.83547    0.166665
          68   -0.697974    -3.78933    0.170481
          69   -0.574813    -3.74274     0.17426
          70   -0.453272    -3.69575    0.177994
          71   -0.333556     -3.6484    0.181677
          72   -0.215628    -3.60072    0.185304
          73  -0.0987235    -3.55275    0.188873
          74   0.0160032    -3.50452     0.19238
          75    0.127159     -3.4561    0.195814
          76    0.235763    -3.40752    0.199172
          77    0.341636    -3.35883    0.202449
          78    0.445565    -3.31006    0.205645
          79    0.545452    -3.26125    0.208753
          80    0.642815    -3.21245    0.211771
          81     0.73653     -3.1637    0.214695
          82    0.826439    -3.11504    0.217521
          83    0.913117    -3.06651    0.220248
          84    0.996661    -3.01814    0.222874
          85     1.07501    -2.96998    0.225394
          86     1.14901    -2.92209    0.227805
          87     1.21952    -2.87448    0.230107
          88     1.28548    -2.82721    0.232297
          89      1.3473     -2.7803    0.234375
          90     1.40373    -2.73382    0.236336
          91     1.45617    -2.68777    0.238182
          92     1.50415    -2.64221    0.239912
          93     1.54816    -2.59715    0.241526
          94      1.5873    -2.55263    0.243024
          95     1.62262    -2.50868    0.244408
          96     1.65423    -2.46532    0.245679
          97     1.68106    -2.42257    0.246837
          98     1.70425    -2.38046    0.247884
          99     1.72423      -2.339    0.248824
         100     1.73979    -2.29821    0.249656
         101     1.75238    -2.25811    0.250385
         102     1.76175     -2.2187    0.251012
         103     1.76915    -2.17998    0.251544
         104     1.77341    -2.14197    0.251981
         105     1.77649    -2.10465    0.252329
         106     1.77697    -2.06803    0.252592
         107      1.7761     -2.0321    0.252773
         108     1.77366    -1.99687    0.252877
         109     1.77012    -1.96231    0.252908
         110     1.76525    -1.92842    0.252869
         111     1.75997    -1.89519    0.252764
         112     1.75447     -1.8626    0.252599
         113     1.74869    -1.83065    0.252377
         114     1.74302     -1.7993    0.252103
         115     1.73759    -1.76854     0.25178
         116     1.73226    -1.73836    0.251412
         117      1.7264    -1.70875    0.251001
         118     1.72104    -1.67968    0.250551
         119      1.7155    -1.65115    0.250065
         120      1.7115    -1.62313    0.249546
         121     1.70715    -1.59561    0.248997
         122     1.70388    -1.56856     0.24842
         123     1.70074    -1.54198    0.247818
         124     1.69673    -1.51586    0.247192
         125     1.69353    -1.49019    0.246545
         126     1.69061    -1.46494    0.245877
         127     1.68868    -1.44011    0.245192
         128     1.68672    -1.41568     0.24449
         129     1.68543    -1.39165    0.243774
         130     1.68379    -1.36799    0.243044
         131     1.68226     -1.3447    0.242301
         132     1.67983    -1.32179    0.241546
         133     1.67888    -1.29923    0.240782
         134     1.67746    -1.27701    0.240007
         135      1.6765    -1.25514    0.239225
         136     1.67598    -1.23358    0.238434
         137      1.6735    -1.21236    0.237636
         138     1.67264    -1.19146    0.236832
         139     1.67124    -1.17086    0.236022
         140     1.66907    -1.15058    0.235206
         141     1.66732    -1.13059    0.234386
         142     1.66555     -1.1109    0.233561
         143     1.66326     -1.0915    0.232732
         144     1.66192    -1.07238      0.2319
         145     1.66035    -1.05354    0.231065
         146     1.65879    -1.03496    0.230228
         147      1.6563    -1.01665    0.229389
         148     1.65555   -0.998595    0.228548
         149      1.6534   -0.980796    0.227706
         150     1.65155   -0.963247    0.226863
         151        1.65   -0.945941     0.22602
         152     1.64851   -0.928872    0.225177
         153     1.64706   -0.912036    0.224334
         154     1.64587   -0.895426    0.223491
         155      1.6442   -0.879041    0.222649
         156     1.64323   -0.862873    0.221808
         157     1.64148   -0.846922    0.220968
         158      1.6394   -0.831186    0.220129
         159     1.63791   -0.815657    0.219292
         160     1.63602   -0.800334    0.218456
         161     1.63296    -0.78522    0.217621
         162     1.62968   -0.770313    0.216788
         163     1.62711   -0.755605    0.215956
         164     1.62355   -0.741098    0.215126
         165      1.6202   -0.726787    0.214298
         166      1.6173   -0.712666    0.213471
         167     1.61343   -0.698738    0.212647
         168      1.6086   -0.685003    0.211824
         169     1.60456   -0.671456    0.211004
         170     1.60063    -0.65809    0.210185
         171     1.59686   -0.644904    0.209369
         172     1.59213   -0.631898    0.208556
         173     1.58796   -0.619066    0.207745
         174     1.58466   -0.606401    0.206936
         175     1.58136   -0.593899    0.206131
         176     1.57718   -0.581564    0.205329
         177     1.57411   -0.569385     0.20453
         178     1.57128   -0.557359    0.203734
         179     1.56947   -0.545477    0.202942
         180     1.56897    -0.53373    0.202154
         181      1.5684   -0.522116     0.20137
         182     1.56801   -0.510632    0.200591
         183      1.5688   -0.499269    0.199817
         184     1.57053    -0.48802    0.199047
         185     1.57297   -0.476879    0.198283
         186     1.57513   -0.465847    0.197523
         187     1.57891   -0.454913     0.19677
         188     1.58308   -0.444072    0.196021
         189      1.5883   -0.433319    0.195279
         190     1.59356   -0.422651    0.194542
         191     1.59953   -0.412064    0.193812
         192     1.60517   -0.401557    0.193087
         193      1.6121   -0.391124    0.192368
         194     1.61928   -0.380761    0.191655
         195     1.62616   -0.370469    0.190949
         196      1.6329   -0.360248    0.190248
         197     1.63969   -0.350096    0.189553
         198     1.64644   -0.340012    0.188863
         199     1.65285   -0.329998     0.18818
         200     1.65861   -0.320055    0.187501
         201     1.66536   -0.310177    0.186828
         202     1.67159   -0.300366    0.186161
         203     1.67724   -0.290625    0.185498
         204     1.68276   -0.280951    0.184841
         205     1.68809   -0.271346    0.184189
         206     1.69224   -0.261814    0.183541
         207     1.69612   -0.252355    0.182898
         208     1.70019   -0.242968     0.18226
         209     1.70344   -0.233655    0.181625
         210     1.70584    -0.22442    0.180995
         211     1.70736   -0.215264    0.180369
         212     1.70796   -0.206192    0.179746
         213     1.70808   -0.197205    0.179127
         214     1.70769   -0.188304    0.178511
         215     1.70578   -0.179494    0.177898
         216     1.70303   -0.170779    0.177287
         217      1.6999   -0.162158     0.17668
         218     1.69682   -0.153631    0.176075
         219     1.69207   -0.145203    0.175473
         220     1.68657   -0.136877    0.174872
         221     1.67982   -0.128656    0.174274
         222      1.6718   -0.120546    0.173678
         223     1.66298   -0.112548    0.173083
         224      1.6524   -0.104669     0.17249
         225     1.64125  -0.0969093    0.171897
         226     1.62884  -0.0892733    0.171306
         227      1.6157  -0.0817624    0.170716
         228     1.60163  -0.0743791    0.170127
         229     1.58693  -0.0671244    0.169539
         230     1.57169  -0.0599991    0.168951
         231     1.55526  -0.0530067    0.168365
         232     1.53896  -0.0461448    0.167779
         233     1.51999  -0.0394231    0.167193
         234     1.50187  -0.0328364    0.166608
         235     1.48397  -0.0263819    0.166024
         236     1.46572  -0.0200595    0.165441
         237     1.44722  -0.0138684    0.164859
         238     1.42909 -0.00780558    0.164278
         239      1.4107 -0.00187039    0.163698
         240     1.39315  0.00394221    0.163119
         241     1.37605  0.00963559    0.162541
         242     1.35923   0.0152124    0.161965
         243     1.34208   0.0206728    0.161391
         244     1.32657   0.0260248    0.160818
         245     1.31205   0.0312739    0.160247
         246     1.29808   0.0364235    0.159678
         247     1.28516   0.0414792    0.159112
         248     1.27357   0.0464473    0.158548
         249      1.2626   0.0513314    0.157986
         250     1.25272    0.056137    0.157428
         251     1.24321   0.0608664    0.156871
         252     1.23406   0.0655219    0.156318
         253     1.22644   0.0701105    0.155767
         254     1.21889   0.0746333     0.15522
         255     1.21233   0.0790948    0.154675
         256     1.20651   0.0834988    0.154134
         257      1.2016   0.0878494    0.153595
         258     1.19686   0.0921479     0.15306
         259     1.19345      0.0964    0.152528
         260     1.19037    0.100608       0.152
         261     1.18877    0.104777    0.151474
         262     1.18645    0.108905    0.150952
         263     1.18506    0.112997    0.150434
         264     1.18408    0.117054    0.149919
         265     1.18371    0.121079    0.149407
         266     1.18296    0.125071    0.148899
         267     1.18324    0.129035    0.148394
         268     1.18309    0.132968    0.147892
         269     1.18318    0.136872    0.147394
         270     1.18423    0.140751    0.146899
         271     1.18501    0.144604    0.146408
         272     1.18599    0.148433    0.145919
         273      1.1874    0.152239    0.145434
         274     1.18848    0.156021    0.144953
         275     1.19142    0.159786    0.144475
         276     1.19282    0.163529       0.144
         277     1.19463    0.167251    0.143528
         278      1.1961    0.170952    0.143059
         279      1.1987    0.174635    0.142594
         280     1.20001    0.178298    0.142132
         281     1.20198    0.181941    0.141673
         282     1.20462    0.185567    0.141217
         283      1.2084    0.189181    0.140764
         284     1.21167    0.192782    0.140314
         285     1.21469    0.196367    0.139868
         286     1.21842    0.199941    0.139424
         287     1.22241    0.203504    0.138984
         288      1.2262    0.207055    0.138547
         289     1.23101    0.210598    0.138113
         290     1.23589    0.214133    0.137682
         291     1.24087    0.217661    0.137254
         292     1.24594    0.221183    0.136829
         293     1.25163      0.2247    0.136407
         294      1.2577    0.228213    0.135988
         295     1.26439    0.231726    0.135573
         296     1.27197     0.23524     0.13516
         297     1.27922    0.238755    0.134751
         298     1.28688    0.242273    0.134345
         299     1.29518    0.245794    0.133941
         300     1.30363     0.24932    0.133541
         301     1.31222    0.252851    0.133144
         302      1.3219    0.256391    0.132751
         303     1.33168     0.25994     0.13236
         304     1.34107    0.263496    0.131972
         305     1.35148    0.267064    0.131588
         306     1.36217    0.270642    0.131206
         307     1.37309    0.274233    0.130828
         308       1.384    0.277836    0.130453
         309     1.39581    0.281454    0.130081
         310     1.40778    0.285088    0.129712
         311     1.41939    0.288735    0.129346
         312     1.43063    0.292395    0.128983
         313     1.44219    0.296068    0.128624
         314     1.45429    0.299757    0.128267
         315     1.46549    0.303458    0.127913
         316      1.4772    0.307172    0.127562
         317     1.48895      0.3109    0.127214
         318     1.50072    0.314642    0.126869
         319     1.51205    0.318395    0.126527
         320     1.52413    0.322163    0.126188
         321     1.53624    0.325945    0.125851
         322     1.54865    0.329743    0.125518
         323     1.56062    0.333553    0.125187
         324     1.57289    0.337379    0.124859
         325     1.58449    0.341216    0.124534
         326     1.59688    0.345068    0.124211
         327     1.60908    0.348933    0.123892
         328     1.62109    0.352812    0.123575
         329     1.63289    0.356702     0.12326
         330     1.64471    0.360605    0.122948
         331     1.65749    0.364523    0.122639
         332     1.66974    0.368455    0.122333
         333      1.6819    0.372399    0.122029
         334     1.69442    0.376357    0.121728
         335     1.70676    0.380329    0.121429
         336     1.71861    0.384312    0.121133
         337     1.72992    0.388305     0.12084
         338     1.74158    0.392308    0.120549
         339     1.75304    0.396322     0.12026
         340     1.76304    0.400342    0.119973
         341     1.77221    0.404365    0.119689
         342     1.78122    0.408391    0.119407
         343     1.78879    0.412415    0.119126
         344      1.7963    0.416438    0.118848
         345     1.80274    0.420457    0.118571
         346     1.80876    0.424469    0.118296
         347     1.81409    0.428474    0.118023
         348     1.81773    0.432466    0.117752
         349     1.82059    0.436443    0.117481
         350     1.82218    0.440403    0.117212
         351     1.82248     0.44434    0.116945
         352      1.8222    0.448254    0.116678
         353     1.82038    0.452141    0.116412
         354     1.81678    0.455996    0.116147
         355     1.81406    0.459822    0.115883
         356     1.80936    0.463613    0.115619
         357     1.80319    0.467365    0.115356
         358     1.79678    0.471079    0.115094
         359     1.78946    0.474751    0.114832
         360     1.78127     0.47838     0.11457
         361     1.77202    0.481964    0.114309
         362     1.76201      0.4855    0.114048
         363     1.75154    0.488987    0.113787
         364     1.74066    0.492426    0.113526
         365     1.72801    0.495811    0.113266
         366     1.71558    0.499144    0.113005
         367     1.70247    0.502423    0.112745
         368     1.68972    0.505649    0.112485
         369     1.67691    0.508823    0.112225
         370     1.66363    0.511944    0.111965
         371     1.64994    0.515012    0.111705
         372      1.6364    0.518026    0.111445
         373     1.62185    0.520985    0.111186
         374     1.60757    0.523891    0.110926
         375     1.59409    0.526745    0.110667
         376      1.5805    0.529547    0.110408
         377     1.56684    0.532299     0.11015
         378      1.5539    0.535001    0.109892
         379     1.54001    0.537653    0.109634
         380     1.52763    0.540258    0.109376
         381     1.51536    0.542818    0.109119
         382     1.50321    0.545332    0.108862
         383     1.49196    0.547803    0.108606
         384     1.47993    0.550231     0.10835
         385     1.46957    0.552619    0.108095
         386     1.45969    0.554968    0.107841
         387      1.4501    0.557281    0.107587
         388     1.44128     0.55956    0.107334
         389      1.4328    0.561805    0.107081
         390     1.42493    0.564018     0.10683
         391     1.41648    0.566198    0.106579
         392     1.40894    0.568348    0.106328
         393     1.40258    0.570471    0.106079
         394     1.39695    0.572568    0.105831
         395     1.39233    0.574644    0.105583
         396     1.38922    0.576701    0.105336
         397     1.38621     0.57874    0.105091
         398     1.38455    0.580764    0.104846
         399     1.38279    0.582774    0.104603
         400      1.3817    0.584772     0.10436
         401     1.38223     0.58676    0.104119
         402     1.38343    0.588742    0.103879
         403     1.38577     0.59072     0.10364
