# DISTANCE:     AVE_GOFR:        ERROR:
           1           0           0           0
           16.67867e+160           0           0
           11.33573e+161           0           0
           1 2.0036e+161           0           0
           12.67147e+161           0           0
           13.33933e+161           0           0
           1 4.0072e+161           0           0
           14.67507e+161           0           0
           15.34293e+161           0           0
           1 6.0108e+161           0           0
           16.67867e+161           0           0
           17.34653e+161           0           0
           1 8.0144e+161           0           0
           18.68227e+161           0           0
           19.35013e+161           0           0
           1 1.0018e+162           0           0
           11.06859e+162           0           0
           11.13537e+162           0           0
           11.20216e+162           0           0
           11.26895e+162           0           0
           11.33573e+162           0           0
           11.40252e+162           0           0
           11.46931e+162           0           0
           11.53609e+162           0           0
           11.60288e+162           0           0
           11.66967e+162           0           0
           11.73645e+162           0           0
           11.80324e+162           0           0
           11.87003e+162           0           0
           11.93681e+162           0           0
           1 2.0036e+162           0           0
           12.07039e+162           0           0
           12.13717e+162           0           0
           12.20396e+162           0           0
           12.27075e+162 1.07806e-07           0
           12.33753e+162  1.3073e-05           0
           12.40432e+162 9.63638e-05           0
           12.47111e+162  0.00033024           0
           12.53789e+162 0.000729929           0
           12.60468e+162  0.00108559           0
           12.67147e+162  0.00143742           0
           12.73825e+162  0.00151847           0
           12.80504e+162  0.00150728           0
           12.87183e+162   0.0014096           0
           12.93861e+162  0.00127819           0
           1 3.0054e+162  0.00120224           0
           13.07219e+162  0.00113419           0
           13.13897e+162 0.000980413           0
           13.20576e+162 0.000844848           0
           13.27255e+162  0.00074388           0
           13.33933e+162 0.000676027           0
           13.40612e+162 0.000627984           0
           13.47291e+162 0.000565354           0
           13.53969e+162 0.000513806           0
           13.60648e+162 0.000468762           0
           13.67327e+162 0.000478708           0
           13.74005e+162 0.000467224           0
           13.80684e+162 0.000474615           0
           13.87363e+162 0.000429428           0
           13.94041e+162 0.000435704           0
           1 4.0072e+162  0.00039926           0
           14.07399e+162 0.000411736           0
           14.14077e+162 0.000406733           0
           14.20756e+162 0.000427937           0
           14.27435e+162 0.000440075           0
           14.34113e+162 0.000442359           0
           14.40792e+162 0.000458143           0
