j        beta       delta  acc_outer avg_acc_inn  last_exp_H 
0         0.5         0.1        0.91    0.684207   -0.386439
1       0.625         0.1        0.84    0.625473   0.0759655
2     0.78125         0.1        0.86    0.635273     3.57728
3    0.976562         0.1        0.85    0.589322   -0.202589
4      1.2207         0.1        0.91    0.604767      1.0162
5     1.52588         0.1         0.9      0.6182   -0.241912
6     1.90735         0.1        0.83    0.711406    0.092366
7     2.38419         0.1        0.86    0.705892    -0.38995
8     2.98023         0.1        0.78    0.644954  -0.0804717
9     3.72529         0.1         0.7    0.648367   -0.278665
10     4.65661         0.1        0.77    0.665943   -0.128265
11     5.82077         0.1        0.77    0.691192  -0.0682914
12     7.27596         0.1        0.77    0.664245   -0.235156
13     9.09495         0.1        0.59    0.675986   -0.230706
14     11.3687         0.1        0.72    0.680926   -0.246488
15     14.2109         0.1        0.69    0.663903   -0.233349
16     17.7636         0.1         0.6    0.695726   -0.307059
17     22.2045         0.1        0.45     0.67763   -0.376353
18     27.7556         0.1        0.43    0.696664   -0.394485
19     34.6945         0.1        0.32    0.693126   -0.446282
20     43.3681         0.1        0.32     0.69112   -0.433703
21     54.2101         0.1        0.19    0.703329   -0.438411
22     67.7626         0.1        0.22    0.702657   -0.429886
23     84.7033         0.1        0.17    0.696851   -0.437543
24     105.879         0.1        0.18    0.696636   -0.434919
25     132.349         0.1        0.07    0.685384    -0.43503
26     165.436         0.1        0.18    0.694498   -0.434551
27     206.795         0.1        0.06    0.707694   -0.441573
28     258.494         0.1        0.04    0.690919   -0.447343
29     323.117         0.1           0    0.700377   -0.447343
