j        beta       delta  acc_outer avg_acc_inn  last_exp_H 
0          30       0.001        0.86    0.486625    0.272489
1          30       0.008        0.82    0.521457 -0.00184362
2          30       0.015        0.69    0.548892   -0.301477
3          30       0.022        0.78    0.720107   -0.428552
4          30       0.029        0.75    0.734556   -0.419746
5          30       0.036        0.69    0.713644   -0.442156
6          30       0.043        0.61    0.714462   -0.432631
7          30        0.05        0.62    0.726482   -0.391421
8          30       0.057        0.59    0.714664   -0.396407
9          30       0.064        0.49    0.701509   -0.418762
10          30       0.071        0.59    0.696184   -0.208311
11          30       0.078        0.48     0.70186   -0.374635
12          30       0.085        0.44    0.694522   -0.441213
13          30       0.092        0.38     0.70514   -0.425111
14          30       0.099        0.46    0.698199    -0.44109
15          30       0.106        0.36    0.684196   -0.437315
16          30       0.113        0.36    0.682447   -0.431515
17          30        0.12        0.34     0.67832   -0.290694
18          30       0.127        0.32    0.669624   -0.390929
19          30       0.134        0.24    0.676294   -0.439889
20          30       0.141        0.16    0.655856   -0.414721
21          30       0.148        0.19     0.66099   -0.426798
22          30       0.155        0.14    0.656335   -0.429113
23          30       0.162        0.18    0.667271   -0.416708
24          30       0.169        0.17    0.649563   -0.414504
25          30       0.176        0.16    0.685723   -0.428255
26          30       0.183        0.17    0.646451    -0.37988
27          30        0.19        0.19    0.661833   -0.389232
28          30       0.197        0.22    0.688264   -0.339285
29          30       0.204        0.15    0.639385   -0.425395
30          30       0.211         0.2    0.657021   -0.435275
31          30       0.218        0.13     0.64584   -0.387638
32          30       0.225        0.14    0.649668   -0.434427
33          30       0.232        0.11    0.640308   -0.241751
34          30       0.239        0.15    0.628663   -0.442927
35          30       0.246        0.03    0.627836   -0.419221
36          30       0.253        0.11    0.602432   -0.415205
37          30        0.26        0.14    0.617052   -0.425809
38          30       0.267        0.19     0.61637   -0.411781
39          30       0.274        0.09    0.622591   -0.426083
40          30       0.281         0.1    0.590139   -0.372704
41          30       0.288        0.13    0.614009   -0.408367
42          30       0.295        0.07    0.588967   -0.419993
43          30       0.302        0.07    0.616652   -0.296219
44          30       0.309        0.07    0.618292   -0.393159
45          30       0.316        0.08    0.596927   -0.426386
46          30       0.323        0.06    0.622038   -0.427589
47          30        0.33        0.06    0.574052   -0.352254
48          30       0.337        0.06    0.575398   -0.428261
49          30       0.344        0.03    0.572912   -0.439849
50          30       0.351           0     0.55528   -0.439849
51          30       0.358        0.05    0.611764   -0.349524
52          30       0.365        0.04    0.594439   -0.444707
53          30       0.372        0.14    0.593976   -0.261513
54          30       0.379        0.08    0.673192   -0.248891
55          30       0.386         0.1     0.58489   -0.377629
56          30       0.393        0.04    0.543645   -0.416649
