sigma,mu,p,exp_H,error,acceptance
0.555787,0.746982,1.81198e-09,-0.403429,0.00327186,0.55898
0.555787,0.746982,1.2109e-16,-0.403429,0.00327186,0.49561
0.555787,0.746982,0.00401138,-0.403429,0.00327186,0.6661
0.555787,0.746982,3.15811e-11,-0.403429,0.00327186,0.52949
0.555787,0.746982,0.00900093,-0.403429,0.00327186,0.64967
0.555787,0.746982,7.37299e-22,-0.403429,0.00327186,0.55266
0.555787,0.746982,3.36348e-05,-0.403429,0.00327186,0.64252
0.555787,0.746982,0.0115578,-0.403429,0.00327186,0.69721
0.535441,0.789942,0.208932,-0.384944,0.00416495,0.66606
0.535441,0.789942,0.00913035,-0.384944,0.00416495,0.73075
0.535441,0.789942,2.28872e-07,-0.384944,0.00416495,0.65459
0.562576,0.811141,16.15,-0.417787,0.00296372,0.6831
0.562576,0.811141,5.64869e-07,-0.417787,0.00296372,0.6465
0.562576,0.811141,3.13602e-07,-0.417787,0.00296372,0.63662
0.562576,0.811141,0.00294317,-0.417787,0.00296372,0.69195
0.562576,0.811141,3.64235e-05,-0.417787,0.00296372,0.69188
0.562576,0.811141,0.112089,-0.417787,0.00296372,0.7122
0.590798,0.729783,1.42462,-0.421965,0.00267587,0.72264
0.590798,0.729783,5.74088e-14,-0.421965,0.00267587,0.54428
0.590798,0.729783,2.43389e-05,-0.421965,0.00267587,0.71192
0.590798,0.729783,1.98084e-18,-0.421965,0.00267587,0.62396
0.590798,0.729783,2.05029e-14,-0.421965,0.00267587,0.53626
0.590798,0.729783,0.00132686,-0.421965,0.00267587,0.69706
0.573142,0.772948,1.45191,-0.426367,0.00298147,0.70135
0.573142,0.772948,0.101226,-0.426367,0.00298147,0.67114
0.58495,0.745676,1.04348,-0.42687,0.00249056,0.71763
0.58495,0.745676,1.50767e-45,-0.42687,0.00249056,0.50002
0.58495,0.745676,0.0738801,-0.42687,0.00249056,0.65593
0.58495,0.745676,1.48177e-10,-0.42687,0.00249056,0.6207
0.58495,0.745676,5.22968e-06,-0.42687,0.00249056,0.69042
0.598455,0.847365,1.64211,-0.432725,0.00271885,0.69825
0.598455,0.847365,7.81842e-10,-0.432725,0.00271885,0.56932
0.598455,0.847365,1.02309e-06,-0.432725,0.00271885,0.61197
0.598455,0.847365,0.0299961,-0.432725,0.00271885,0.69554
0.598455,0.847365,3.72752e-08,-0.432725,0.00271885,0.76845
0.598455,0.847365,4.51481e-09,-0.432725,0.00271885,0.77307
0.598455,0.847365,1.2649e-10,-0.432725,0.00271885,0.76604
0.598455,0.847365,0.0680854,-0.432725,0.00271885,0.65817
0.598455,0.847365,3.66428e-08,-0.432725,0.00271885,0.57361
0.685248,0.791131,0.329153,-0.419606,0.00504547,0.75664
0.685248,0.791131,0.000258447,-0.419606,0.00504547,0.75854
0.685248,0.791131,6.77539e-09,-0.419606,0.00504547,0.57595
0.602603,0.782604,7.79722,-0.443853,0.00226552,0.72253
0.602603,0.782604,2.53125e-05,-0.443853,0.00226552,0.68353
0.602603,0.782604,8.74491e-08,-0.443853,0.00226552,0.77071
0.602603,0.782604,2.64609e-05,-0.443853,0.00226552,0.68528
0.602603,0.782604,0.0927265,-0.443853,0.00226552,0.67627
0.602603,0.782604,0.00773158,-0.443853,0.00226552,0.75647
0.602603,0.782604,0.112776,-0.443853,0.00226552,0.73344
0.602603,0.782604,1.21718e-07,-0.443853,0.00226552,0.57325
0.602603,0.782604,0.0217892,-0.443853,0.00226552,0.75746
0.602603,0.782604,3.4709e-07,-0.443853,0.00226552,0.62259
0.602603,0.782604,0.000680799,-0.443853,0.00226552,0.62912
0.602603,0.782604,2.30294e-10,-0.443853,0.00226552,0.6314
0.602603,0.782604,1.16041e-05,-0.443853,0.00226552,0.63228
0.602603,0.782604,0.00247546,-0.443853,0.00226552,0.70795
0.602603,0.782604,0.0233753,-0.443853,0.00226552,0.72876
0.602603,0.782604,0.00968557,-0.443853,0.00226552,0.75424
0.602603,0.782604,8.45806e-08,-0.443853,0.00226552,0.5957
0.602603,0.782604,0.000587115,-0.443853,0.00226552,0.70816
0.602603,0.782604,0.0361506,-0.443853,0.00226552,0.67978
0.602603,0.782604,6.83407e-05,-0.443853,0.00226552,0.63825
0.602603,0.782604,0.0672084,-0.443853,0.00226552,0.66291
0.602603,0.782604,0.000365614,-0.443853,0.00226552,0.64047
0.602603,0.782604,2.03834e-33,-0.443853,0.00226552,0.54384
0.602603,0.782604,0.0022319,-0.443853,0.00226552,0.71664
0.602603,0.782604,1.67156e-08,-0.443853,0.00226552,0.75826
0.602603,0.782604,6.78945e-08,-0.443853,0.00226552,0.64339
0.602603,0.782604,1.28076e-06,-0.443853,0.00226552,0.77813
0.602603,0.782604,4.54357e-07,-0.443853,0.00226552,0.6315
0.602603,0.782604,0.000146126,-0.443853,0.00226552,0.69319
0.602603,0.782604,6.29988e-19,-0.443853,0.00226552,0.47917
0.609161,0.803553,1.13753,-0.445374,0.00213544,0.71837
0.609161,0.803553,0.00183525,-0.445374,0.00213544,0.76348
0.609161,0.803553,1.30298e-12,-0.445374,0.00213544,0.53757
0.609161,0.803553,0.622839,-0.445374,0.00213544,0.71717
0.609161,0.803553,0.0290569,-0.445374,0.00213544,0.6693
0.609161,0.803553,1.41452e-05,-0.445374,0.00213544,0.61568
0.609161,0.803553,7.33587e-06,-0.445374,0.00213544,0.61313
0.609161,0.803553,0.00011103,-0.445374,0.00213544,0.64665
0.609161,0.803553,0.0037692,-0.445374,0.00213544,0.70651
0.609161,0.803553,0.0188453,-0.445374,0.00213544,0.70195
0.609161,0.803553,0.0458897,-0.445374,0.00213544,0.67493
0.623566,0.790303,1.24151,-0.447928,0.00222336,0.73219
0.623566,0.790303,0.00103724,-0.447928,0.00222336,0.64375
0.623566,0.790303,0.0058756,-0.447928,0.00222336,0.71737
0.623566,0.790303,1.25998e-08,-0.447928,0.00222336,0.59254
0.623566,0.790303,0.0244521,-0.447928,0.00222336,0.72958
0.623566,0.790303,5.93599e-20,-0.447928,0.00222336,0.51595
0.623566,0.790303,1.88287e-06,-0.447928,0.00222336,0.77941
0.623566,0.790303,0.000936494,-0.447928,0.00222336,0.75945
0.623566,0.790303,2.20056e-09,-0.447928,0.00222336,0.78029
0.623566,0.790303,1.03885e-08,-0.447928,0.00222336,0.62229
0.623566,0.790303,3.82657e-09,-0.447928,0.00222336,0.62904
0.623566,0.790303,0.135505,-0.447928,0.00222336,0.7512
0.623566,0.790303,3.2683e-05,-0.447928,0.00222336,0.77049
0.623566,0.790303,0.0730296,-0.447928,0.00222336,0.75378
0.623566,0.790303,4.30853e-08,-0.447928,0.00222336,0.57918
0.623566,0.790303,0.0137508,-0.447928,0.00222336,0.65589
0.623566,0.790303,4.92855e-05,-0.447928,0.00222336,0.77237
