sigma,mu,exp_H,error,acceptance
0.619766,0.796612,-0.448839,0.00222052,0.60124
0.619766,0.796612,-0.448839,0.00222052,0.53235
0.619766,0.796612,-0.448839,0.00222052,0.53568
0.619766,0.796612,-0.448839,0.00222052,0.56213
0.619766,0.796612,-0.448839,0.00222052,0.52056
0.619766,0.796612,-0.448839,0.00222052,0.55686
0.619766,0.796612,-0.448839,0.00222052,0.55865
0.619766,0.796612,-0.448839,0.00222052,0.51893
0.619766,0.796612,-0.448839,0.00222052,0.60974
0.619766,0.796612,-0.448839,0.00222052,0.53552
0.619766,0.796612,-0.448839,0.00222052,0.59846
0.619766,0.796612,-0.448839,0.00222052,0.56664
0.619766,0.796612,-0.448839,0.00222052,0.58075
0.619766,0.796612,-0.448839,0.00222052,0.54405
0.619766,0.796612,-0.448839,0.00222052,0.57375
0.619766,0.796612,-0.448839,0.00222052,0.58818
0.619766,0.796612,-0.448839,0.00222052,0.54748
0.619766,0.796612,-0.448839,0.00222052,0.59227
0.619766,0.796612,-0.448839,0.00222052,0.61957
0.619766,0.796612,-0.448839,0.00222052,0.59239
0.619766,0.796612,-0.448839,0.00222052,0.57763
0.619766,0.796612,-0.448839,0.00222052,0.60608
0.619766,0.796612,-0.448839,0.00222052,0.62021
0.619766,0.796612,-0.448839,0.00222052,0.56919
0.619766,0.796612,-0.448839,0.00222052,0.52809
0.619766,0.796612,-0.448839,0.00222052,0.61339
0.619766,0.796612,-0.448839,0.00222052,0.59552
0.619766,0.796612,-0.448839,0.00222052,0.5279
0.619766,0.796612,-0.448839,0.00222052,0.53104
0.619766,0.796612,-0.448839,0.00222052,0.52769
0.619766,0.796612,-0.448839,0.00222052,0.57988
0.619766,0.796612,-0.448839,0.00222052,0.52261
0.619766,0.796612,-0.448839,0.00222052,0.55086
0.619766,0.796612,-0.448839,0.00222052,0.56649
0.619766,0.796612,-0.448839,0.00222052,0.55578
0.619766,0.796612,-0.448839,0.00222052,0.60666
0.619766,0.796612,-0.448839,0.00222052,0.57216
0.619766,0.796612,-0.448839,0.00222052,0.58422
0.619766,0.796612,-0.448839,0.00222052,0.60266
0.619766,0.796612,-0.448839,0.00222052,0.54099
0.619766,0.796612,-0.448839,0.00222052,0.51963
0.619766,0.796612,-0.448839,0.00222052,0.56318
0.619766,0.796612,-0.448839,0.00222052,0.56196
0.619766,0.796612,-0.448839,0.00222052,0.57221
0.619766,0.796612,-0.448839,0.00222052,0.61275
0.619766,0.796612,-0.448839,0.00222052,0.54482
0.619766,0.796612,-0.448839,0.00222052,0.56142
0.619766,0.796612,-0.448839,0.00222052,0.56089
0.619766,0.796612,-0.448839,0.00222052,0.6074
0.619766,0.796612,-0.448839,0.00222052,0.59096
