j           beta        delta       acc_outer   avg_acc_inn last_exp_H  error       last_sigma  last_mu     
0           0.5         0.1         0.98        0.447353    0.652102    0.0122121   0.352423    0.340322    
1           0.641026    0.1         0.98        0.465017    -0.349197   0.00441566  0.533558    0.874249    
2           0.821828    0.1         0.98        0.508599    -0.111315   0.0170125   1.0461      0.507374    
3           1.05363     0.1         0.94        0.499114    -0.141121   0.00785808  0.476831    0.936272    
4           1.3508      0.1         0.86        0.392127    -0.0970085  0.00902724  0.462239    0.887783    
5           1.7318      0.1         0.84        0.6389      0.5937      0.0368867   1.0551      0.905432    
6           2.22025     0.1         0.98        0.505311    -0.180428   0.00555215  0.765899    0.350856    
7           2.84648     0.1         0.88        0.425256    -0.351383   0.00705823  0.711557    0.851615    
8           3.64933     0.1         0.76        0.548705    -0.287461   0.00671342  0.860081    0.563918    
9           4.67863     0.1         0.86        0.574764    -0.298022   0.00618785  0.506547    0.803968    
10          5.99824     0.1         0.8         0.568973    -0.437425   0.00303743  0.645537    0.831848    
11          7.69005     0.1         0.82        0.587053    -0.371109   0.00650552  0.715175    0.849264    
12          9.85904     0.1         0.8         0.553633    -0.171794   0.00513434  0.664546    0.464008    
13          12.6398     0.1         0.8         0.52498     -0.41975    0.00427587  0.665266    0.854991    
14          16.2049     0.1         0.66        0.53808     -0.269999   0.00552051  0.506532    0.646081    
15          20.7755     0.1         0.66        0.557364    -0.381053   0.00393662  0.606162    0.928718    
16          26.6352     0.1         0.62        0.527874    -0.432266   0.00204768  0.62911     0.737816    
17          34.1477     0.1         0.58        0.560456    -0.435053   0.0023318   0.611524    0.761026    
18          43.7791     0.1         0.44        0.559608    -0.405579   0.00253463  0.592127    0.700143    
19          56.1271     0.1         0.28        0.550528    -0.438431   0.0025545   0.63632     0.76388     
20          71.9578     0.1         0.14        0.549014    -0.410801   0.00244557  0.633398    0.700833    
21          92.2536     0.1         0.42        0.552176    -0.410878   0.0027022   0.651342    0.706943    
22          118.274     0.1         0.26        0.560109    -0.443013   0.00245259  0.634603    0.77838     
23          151.633     0.1         0.2         0.572274    -0.443088   0.00225851  0.597568    0.785307    
24          194.401     0.1         0.2         0.562212    -0.435163   0.00308466  0.631642    0.845729    
25          249.233     0.1         0.1         0.567429    -0.438852   0.00286036  0.614213    0.829652    
26          319.529     0.1         0.1         0.566518    -0.443221   0.00242697  0.600694    0.802085    
27          409.653     0.1         0.12        0.560048    -0.442444   0.00217242  0.611642    0.780863    
28          525.196     0.1         0.02        0.563546    -0.445003   0.00215175  0.612099    0.798153    
29          673.328     0.1         0.06        0.56407     -0.447926   0.00230124  0.608626    0.800243    
30          863.241     0.1         0           0.566726    -0.447926   0.00230124  0.608626    0.800243    
31          1106.72     0.1         0           0.554262    -0.447926   0.00230124  0.608626    0.800243    
32          1418.87     0.1         0           0.559162    -0.447926   0.00230124  0.608626    0.800243    
33          1819.06     0.1         0           0.568455    -0.447926   0.00230124  0.608626    0.800243    
34          2332.13     0.1         0           0.563002    -0.447926   0.00230124  0.608626    0.800243    
35          2989.92     0.1         0           0.556553    -0.447926   0.00230124  0.608626    0.800243    
36          3833.22     0.1         0           0.56816     -0.447926   0.00230124  0.608626    0.800243    
37          4914.39     0.1         0           0.555221    -0.447926   0.00230124  0.608626    0.800243    
38          6300.5      0.1         0           0.553782    -0.447926   0.00230124  0.608626    0.800243    
39          8077.57     0.1         0           0.557952    -0.447926   0.00230124  0.608626    0.800243    
40          10355.9     0.1         0           0.562001    -0.447926   0.00230124  0.608626    0.800243    
41          13276.7     0.1         0           0.55946     -0.447926   0.00230124  0.608626    0.800243    
42          17021.5     0.1         0           0.560818    -0.447926   0.00230124  0.608626    0.800243    
43          21822.4     0.1         0           0.564176    -0.447926   0.00230124  0.608626    0.800243    
44          27977.4     0.1         0.02        0.559969    -0.448839   0.00222052  0.619766    0.796612    
45          35868.5     0.1         0           0.563068    -0.448839   0.00222052  0.619766    0.796612    
46          45985.2     0.1         0           0.568189    -0.448839   0.00222052  0.619766    0.796612    
47          58955.4     0.1         0           0.566517    -0.448839   0.00222052  0.619766    0.796612    
48          75583.9     0.1         0           0.569297    -0.448839   0.00222052  0.619766    0.796612    
49          96902.4     0.1         0           0.568491    -0.448839   0.00222052  0.619766    0.796612    
