j        beta       delta  acc_outer avg_acc_inn   last_exp_H        error  last_sigma   last_mu 
0         0.5         0.5         0.7    0.394174   -0.117193   0.0125489    0.919382    0.753301
1    0.666667         0.5         0.9     0.56927    -0.19866  0.00343195    0.603833    0.511446
2    0.888889         0.5         0.7    0.469671     0.25845  0.00963095     0.38203    0.544463
3     1.18519         0.5         0.6    0.445485   -0.340796  0.00267889    0.715398    0.613805
4     1.58025         0.5         0.6      0.5483  -0.0618894   0.0137335     1.03233    0.614942
5       2.107         0.5         0.7    0.425884    0.145362  0.00672863    0.414708    0.467124
6     2.80933         0.5         0.4    0.330731   -0.210015  0.00575833    0.650326     1.02082
7     3.74577         0.5         0.5    0.510334   -0.180339  0.00909289     0.83393    0.840351
8     4.99436         0.5         0.4    0.481837   -0.416575  0.00209057    0.570747    0.744607
9     6.65915         0.5         0.1    0.440719    -0.43329  0.00239339    0.653847    0.775884
10     8.87886         0.1         0.8    0.552302   -0.251566   0.0031654    0.678629    0.523241
11     11.8385         0.1         0.7     0.52307   -0.401876   0.0036013    0.698957    0.812002
12     15.7846         0.1         0.5    0.480138    -0.34874  0.00396363    0.516611    0.802261
13     21.0462         0.1         0.8    0.524212   -0.332605  0.00359079    0.517579    0.816897
14     28.0616         0.1         0.8    0.556042    -0.40278  0.00292777    0.704002    0.778853
15     37.4155         0.1         0.6     0.55926   -0.406308  0.00174971     0.60016    0.697801
16     49.8873         0.1         0.4      0.4941   -0.381018  0.00260565    0.703025    0.680762
17     66.5164         0.1         0.3      0.5688   -0.434962  0.00202037    0.584424    0.805675
18     88.6885         0.1         0.5    0.562029   -0.410331  0.00239777    0.564365    0.841718
19     118.251         0.1         0.5    0.553818   -0.418266  0.00187578    0.580272    0.731051
20     157.668        0.01    0.866667    0.559237   -0.441631  0.00171805    0.602939     0.79393
21     210.225        0.01         0.8    0.570571   -0.443543  0.00167512    0.600257    0.828351
22     280.299        0.01         0.7    0.573109   -0.445271  0.00167237    0.607129    0.807633
23     373.733        0.01         0.6    0.570983   -0.441667   0.0020353    0.604533    0.822343
24      498.31        0.01    0.433333    0.574983   -0.445655  0.00167664    0.605003    0.829265
25     664.413        0.01   0.0666667    0.573815   -0.448533  0.00158324    0.613569    0.813306
26     885.885        0.01    0.133333    0.573584   -0.448167  0.00170491    0.612092    0.810179
27     1181.18        0.01   0.0666667    0.576842   -0.447657  0.00164609    0.618169    0.819555
28     1574.91        0.01           0    0.579274   -0.447657  0.00164609    0.618169    0.819555
29     2099.87        0.01           0    0.578963   -0.447657  0.00164609    0.618169    0.819555
30     2799.83       0.001        0.02    0.579948   -0.449453  0.00182683     0.61911    0.819504
31     3733.11       0.001           0    0.579832   -0.449453  0.00182683     0.61911    0.819504
32     4977.48       0.001           0    0.580149   -0.449453  0.00182683     0.61911    0.819504
33     6636.64       0.001           0    0.580158   -0.449453  0.00182683     0.61911    0.819504
34     8848.85       0.001           0    0.580302   -0.449453  0.00182683     0.61911    0.819504
35     11798.5       0.001           0     0.58013   -0.449453  0.00182683     0.61911    0.819504
36     15731.3       0.001           0    0.579877   -0.449453  0.00182683     0.61911    0.819504
37     20975.1       0.001           0    0.579966   -0.449453  0.00182683     0.61911    0.819504
38     27966.7       0.001           0    0.580071   -0.449453  0.00182683     0.61911    0.819504
39       37289       0.001           0    0.580071   -0.449453  0.00182683     0.61911    0.819504
40     49718.7      0.0001           0    0.579899   -0.449453  0.00182683     0.61911    0.819504
41     66291.6      0.0001           0    0.580313   -0.449453  0.00182683     0.61911    0.819504
42     88388.7      0.0001           0    0.580127   -0.449453  0.00182683     0.61911    0.819504
43      117852      0.0001           0    0.579855   -0.449453  0.00182683     0.61911    0.819504
44      157136      0.0001           0    0.579889   -0.449453  0.00182683     0.61911    0.819504
45      209514      0.0001           0    0.579965   -0.449453  0.00182683     0.61911    0.819504
46      279352      0.0001           0    0.579927   -0.449453  0.00182683     0.61911    0.819504
47      372469      0.0001           0     0.58001   -0.449453  0.00182683     0.61911    0.819504
48      496626      0.0001           0    0.579822   -0.449453  0.00182683     0.61911    0.819504
49      662168      0.0001           0    0.579937   -0.449453  0.00182683     0.61911    0.819504
