sigma,mu,exp_H,error,acceptance
0.61095,0.786023,-0.443476,0.00218837,0.78071
0.613287,0.782661,-0.44419,0.00207679,0.7843
0.623126,0.785906,-0.444431,0.00224092,0.78917
0.618016,0.781103,-0.443071,0.002902,0.78846
0.618016,0.781103,-0.443071,0.002902,0.78095
0.618016,0.781103,-0.443071,0.002902,0.78771
0.618016,0.781103,-0.443071,0.002902,0.77913
0.618016,0.781103,-0.443071,0.002902,0.79242
0.618016,0.781103,-0.443071,0.002902,0.7903
0.618016,0.781103,-0.443071,0.002902,0.7801
0.614628,0.780533,-0.443374,0.00186716,0.78652
0.624235,0.784219,-0.446575,0.00225447,0.79167
0.624235,0.784219,-0.446575,0.00225447,0.79396
0.624235,0.784219,-0.446575,0.00225447,0.79577
0.617839,0.785948,-0.446023,0.00197833,0.7894
0.608645,0.788939,-0.444914,0.00208483,0.77881
0.608671,0.789947,-0.443831,0.00171789,0.77926
0.616014,0.782832,-0.442631,0.00299345,0.78666
0.607667,0.779539,-0.449011,0.00186778,0.78058
0.607667,0.779539,-0.449011,0.00186778,0.7875
0.607667,0.779539,-0.449011,0.00186778,0.79118
0.607667,0.779539,-0.449011,0.00186778,0.79075
0.607667,0.779539,-0.449011,0.00186778,0.78368
0.607667,0.779539,-0.449011,0.00186778,0.78798
0.607667,0.779539,-0.449011,0.00186778,0.78548
0.607667,0.779539,-0.449011,0.00186778,0.77803
0.607667,0.779539,-0.449011,0.00186778,0.78904
0.607667,0.779539,-0.449011,0.00186778,0.78331
0.607667,0.779539,-0.449011,0.00186778,0.78593
0.607667,0.779539,-0.449011,0.00186778,0.77896
0.607667,0.779539,-0.449011,0.00186778,0.77977
0.607667,0.779539,-0.449011,0.00186778,0.77865
0.607667,0.779539,-0.449011,0.00186778,0.78977
0.607667,0.779539,-0.449011,0.00186778,0.7749
0.607667,0.779539,-0.449011,0.00186778,0.78226
0.616163,0.773414,-0.445257,0.00219298,0.78905
0.608231,0.781199,-0.441732,0.0023435,0.78273
0.608231,0.781199,-0.441732,0.0023435,0.77404
0.608231,0.781199,-0.441732,0.0023435,0.78671
0.601728,0.781359,-0.442084,0.00227548,0.77506
0.607813,0.781833,-0.443021,0.00192899,0.7836
0.607813,0.781833,-0.443021,0.00192899,0.78639
0.607813,0.781833,-0.443021,0.00192899,0.77461
0.607813,0.781833,-0.443021,0.00192899,0.79056
0.606322,0.791031,-0.443525,0.00245019,0.7768
0.610262,0.78217,-0.444182,0.00201115,0.77986
0.618091,0.790447,-0.444816,0.00187411,0.78539
0.618091,0.790447,-0.444816,0.00187411,0.78604
0.62606,0.796001,-0.443252,0.00278219,0.78866
0.617891,0.799176,-0.445985,0.00211113,0.78511
0.617891,0.799176,-0.445985,0.00211113,0.77566
0.615426,0.800522,-0.444328,0.00233962,0.77973
0.615426,0.800522,-0.444328,0.00233962,0.78815
0.618278,0.803423,-0.443922,0.00225557,0.78049
0.618278,0.803423,-0.443922,0.00225557,0.78519
0.621668,0.800972,-0.448257,0.00259217,0.78593
0.619862,0.809919,-0.447864,0.00276576,0.78456
0.619862,0.809919,-0.447864,0.00276576,0.77965
0.619862,0.809919,-0.447864,0.00276576,0.78228
0.619862,0.809919,-0.447864,0.00276576,0.78558
0.619862,0.809919,-0.447864,0.00276576,0.78119
0.619862,0.809919,-0.447864,0.00276576,0.78129
0.619862,0.809919,-0.447864,0.00276576,0.78152
0.619862,0.809919,-0.447864,0.00276576,0.78156
0.619862,0.809919,-0.447864,0.00276576,0.77411
0.619862,0.809919,-0.447864,0.00276576,0.7808
0.619862,0.809919,-0.447864,0.00276576,0.77437
0.619453,0.803614,-0.445149,0.00303175,0.78323
0.619453,0.803614,-0.445149,0.00303175,0.7874
0.619453,0.803614,-0.445149,0.00303175,0.78819
0.619453,0.803614,-0.445149,0.00303175,0.78385
0.622427,0.794523,-0.442033,0.00305002,0.78784
0.622427,0.794523,-0.442033,0.00305002,0.79024
0.625585,0.795996,-0.443191,0.00209754,0.79067
0.623737,0.797231,-0.445962,0.00234323,0.78746
0.614116,0.801101,-0.449736,0.00214618,0.7804
0.614116,0.801101,-0.449736,0.00214618,0.78386
0.62208,0.809139,-0.448961,0.00194588,0.78666
0.62208,0.809139,-0.448961,0.00194588,0.78344
0.62208,0.809139,-0.448961,0.00194588,0.77871
0.62208,0.809139,-0.448961,0.00194588,0.77862
0.62208,0.809139,-0.448961,0.00194588,0.77855
0.62208,0.809139,-0.448961,0.00194588,0.77263
0.62208,0.809139,-0.448961,0.00194588,0.78771
0.62208,0.809139,-0.448961,0.00194588,0.77727
0.62208,0.809139,-0.448961,0.00194588,0.7902
0.62208,0.809139,-0.448961,0.00194588,0.78195
0.62208,0.809139,-0.448961,0.00194588,0.78529
0.62208,0.809139,-0.448961,0.00194588,0.78382
0.62208,0.809139,-0.448961,0.00194588,0.77859
0.62208,0.809139,-0.448961,0.00194588,0.78238
0.62208,0.809139,-0.448961,0.00194588,0.78302
0.62208,0.809139,-0.448961,0.00194588,0.77895
0.62208,0.809139,-0.448961,0.00194588,0.77753
0.62208,0.809139,-0.448961,0.00194588,0.78691
0.62208,0.809139,-0.448961,0.00194588,0.7825
0.617295,0.801741,-0.450696,0.00210236,0.77926
0.617295,0.801741,-0.450696,0.00210236,0.77478
0.617295,0.801741,-0.450696,0.00210236,0.78519
0.617295,0.801741,-0.450696,0.00210236,0.78708
