sigma,mu,exp_H,error,acceptance
0.611903,0.817057,-0.451031,0.00194466,0.77271
0.611903,0.817057,-0.451031,0.00194466,0.77029
0.611903,0.817057,-0.451031,0.00194466,0.76988
0.611903,0.817057,-0.451031,0.00194466,0.77335
0.611903,0.817057,-0.451031,0.00194466,0.77496
0.611903,0.817057,-0.451031,0.00194466,0.7731
0.611903,0.817057,-0.451031,0.00194466,0.77141
0.611903,0.817057,-0.451031,0.00194466,0.77382
0.611903,0.817057,-0.451031,0.00194466,0.77236
0.611903,0.817057,-0.451031,0.00194466,0.77212
0.611903,0.817057,-0.451031,0.00194466,0.77114
0.611903,0.817057,-0.451031,0.00194466,0.77322
0.611903,0.817057,-0.451031,0.00194466,0.77428
0.611903,0.817057,-0.451031,0.00194466,0.77009
0.611903,0.817057,-0.451031,0.00194466,0.77367
0.611903,0.817057,-0.451031,0.00194466,0.76931
0.611903,0.817057,-0.451031,0.00194466,0.77064
0.611903,0.817057,-0.451031,0.00194466,0.77156
0.611903,0.817057,-0.451031,0.00194466,0.77354
0.611903,0.817057,-0.451031,0.00194466,0.7718
0.611903,0.817057,-0.451031,0.00194466,0.77374
0.611903,0.817057,-0.451031,0.00194466,0.76917
0.611903,0.817057,-0.451031,0.00194466,0.77288
0.611903,0.817057,-0.451031,0.00194466,0.77214
0.611903,0.817057,-0.451031,0.00194466,0.77139
0.611903,0.817057,-0.451031,0.00194466,0.77194
0.611903,0.817057,-0.451031,0.00194466,0.77058
0.611903,0.817057,-0.451031,0.00194466,0.77148
0.611903,0.817057,-0.451031,0.00194466,0.77213
0.611903,0.817057,-0.451031,0.00194466,0.76842
0.611903,0.817057,-0.451031,0.00194466,0.77024
0.611903,0.817057,-0.451031,0.00194466,0.77149
0.611903,0.817057,-0.451031,0.00194466,0.77357
0.611903,0.817057,-0.451031,0.00194466,0.77248
0.611903,0.817057,-0.451031,0.00194466,0.77061
0.611903,0.817057,-0.451031,0.00194466,0.77243
0.611903,0.817057,-0.451031,0.00194466,0.77314
0.611903,0.817057,-0.451031,0.00194466,0.77347
0.611903,0.817057,-0.451031,0.00194466,0.77245
0.611903,0.817057,-0.451031,0.00194466,0.77148
0.611903,0.817057,-0.451031,0.00194466,0.76939
0.611903,0.817057,-0.451031,0.00194466,0.77217
0.611903,0.817057,-0.451031,0.00194466,0.77355
0.611903,0.817057,-0.451031,0.00194466,0.77241
0.611903,0.817057,-0.451031,0.00194466,0.77123
0.611903,0.817057,-0.451031,0.00194466,0.773
0.611903,0.817057,-0.451031,0.00194466,0.77572
0.611903,0.817057,-0.451031,0.00194466,0.77167
0.611903,0.817057,-0.451031,0.00194466,0.77175
0.611903,0.817057,-0.451031,0.00194466,0.77242
0.611903,0.817057,-0.451031,0.00194466,0.77026
0.611903,0.817057,-0.451031,0.00194466,0.77212
0.611903,0.817057,-0.451031,0.00194466,0.77371
0.611903,0.817057,-0.451031,0.00194466,0.77018
0.611903,0.817057,-0.451031,0.00194466,0.77412
0.611903,0.817057,-0.451031,0.00194466,0.77337
0.611903,0.817057,-0.451031,0.00194466,0.77332
0.611903,0.817057,-0.451031,0.00194466,0.77175
0.611903,0.817057,-0.451031,0.00194466,0.77516
0.611903,0.817057,-0.451031,0.00194466,0.77208
0.611903,0.817057,-0.451031,0.00194466,0.77375
0.611903,0.817057,-0.451031,0.00194466,0.77008
0.611903,0.817057,-0.451031,0.00194466,0.77111
0.611903,0.817057,-0.451031,0.00194466,0.77583
0.611903,0.817057,-0.451031,0.00194466,0.77103
0.611903,0.817057,-0.451031,0.00194466,0.7723
0.611903,0.817057,-0.451031,0.00194466,0.77222
0.611903,0.817057,-0.451031,0.00194466,0.77372
0.611903,0.817057,-0.451031,0.00194466,0.77033
0.611903,0.817057,-0.451031,0.00194466,0.76759
0.611903,0.817057,-0.451031,0.00194466,0.774
0.611903,0.817057,-0.451031,0.00194466,0.7698
0.611903,0.817057,-0.451031,0.00194466,0.77017
0.611903,0.817057,-0.451031,0.00194466,0.77314
0.611903,0.817057,-0.451031,0.00194466,0.77178
0.611903,0.817057,-0.451031,0.00194466,0.77211
0.611903,0.817057,-0.451031,0.00194466,0.77327
0.611903,0.817057,-0.451031,0.00194466,0.77205
0.611903,0.817057,-0.451031,0.00194466,0.77246
0.611903,0.817057,-0.451031,0.00194466,0.77431
0.611903,0.817057,-0.451031,0.00194466,0.77098
0.611903,0.817057,-0.451031,0.00194466,0.76911
0.611903,0.817057,-0.451031,0.00194466,0.76946
0.611903,0.817057,-0.451031,0.00194466,0.77477
0.611903,0.817057,-0.451031,0.00194466,0.77127
0.611903,0.817057,-0.451031,0.00194466,0.77216
0.611903,0.817057,-0.451031,0.00194466,0.77058
0.611903,0.817057,-0.451031,0.00194466,0.7731
0.611903,0.817057,-0.451031,0.00194466,0.77207
0.611903,0.817057,-0.451031,0.00194466,0.77176
0.611903,0.817057,-0.451031,0.00194466,0.77506
0.611903,0.817057,-0.451031,0.00194466,0.77276
0.611903,0.817057,-0.451031,0.00194466,0.77227
0.611903,0.817057,-0.451031,0.00194466,0.77314
0.611903,0.817057,-0.451031,0.00194466,0.77313
0.611903,0.817057,-0.451031,0.00194466,0.76971
0.611903,0.817057,-0.451031,0.00194466,0.77269
0.611903,0.817057,-0.451031,0.00194466,0.77361
0.611903,0.817057,-0.451031,0.00194466,0.77399
0.611903,0.817057,-0.451031,0.00194466,0.77337
