sigma,mu,exp_H,error,acceptance
0.739758,0.433531,-0.208293,0.00577819,0.72478
0.805211,0.348352,-0.204034,0.00537282,0.72358
0.805211,0.348352,-0.204034,0.00537282,0.69639
0.754614,0.406983,-0.200742,0.00536777,0.72294
0.722028,0.371783,-0.153063,0.00594338,0.70644
0.722028,0.371783,-0.153063,0.00594338,0.68844
0.641904,0.435744,-0.132543,0.00615065,0.70637
0.716164,0.350643,-0.119913,0.00613718,0.70311
0.724681,0.404774,-0.174249,0.006409,0.71864
0.755732,0.468411,-0.244055,0.00534123,0.73511
