sigma,mu,exp_H,error,acceptance
0.618194,0.793465,-0.446566,0.000798895,0.576815
0.618194,0.793465,-0.446566,0.000798895,0.576622
0.618194,0.793465,-0.446566,0.000798895,0.575699
0.618194,0.793465,-0.446566,0.000798895,0.575931
0.618194,0.793465,-0.446566,0.000798895,0.576292
0.618194,0.793465,-0.446566,0.000798895,0.575502
0.618194,0.793465,-0.446566,0.000798895,0.576999
0.618194,0.793465,-0.446566,0.000798895,0.576691
0.618194,0.793465,-0.446566,0.000798895,0.576005
0.618194,0.793465,-0.446566,0.000798895,0.576278
0.618194,0.793465,-0.446566,0.000798895,0.576565
0.618194,0.793465,-0.446566,0.000798895,0.575107
0.618194,0.793465,-0.446566,0.000798895,0.576076
0.618194,0.793465,-0.446566,0.000798895,0.57609
0.618194,0.793465,-0.446566,0.000798895,0.576674
0.618194,0.793465,-0.446566,0.000798895,0.575986
0.618194,0.793465,-0.446566,0.000798895,0.576476
0.618194,0.793465,-0.446566,0.000798895,0.575683
0.618194,0.793465,-0.446566,0.000798895,0.576482
0.618194,0.793465,-0.446566,0.000798895,0.575338
0.618194,0.793465,-0.446566,0.000798895,0.575914
0.618194,0.793465,-0.446566,0.000798895,0.57611
0.618194,0.793465,-0.446566,0.000798895,0.575356
0.618194,0.793465,-0.446566,0.000798895,0.57534
0.618194,0.793465,-0.446566,0.000798895,0.57661
0.618194,0.793465,-0.446566,0.000798895,0.57616
0.618194,0.793465,-0.446566,0.000798895,0.575911
0.618194,0.793465,-0.446566,0.000798895,0.575293
0.618194,0.793465,-0.446566,0.000798895,0.576
0.618194,0.793465,-0.446566,0.000798895,0.575206
0.618194,0.793465,-0.446566,0.000798895,0.575853
0.618194,0.793465,-0.446566,0.000798895,0.57553
0.618194,0.793465,-0.446566,0.000798895,0.576201
0.618194,0.793465,-0.446566,0.000798895,0.576165
0.618194,0.793465,-0.446566,0.000798895,0.575721
0.618194,0.793465,-0.446566,0.000798895,0.575726
0.618194,0.793465,-0.446566,0.000798895,0.576753
0.618194,0.793465,-0.446566,0.000798895,0.57577
0.618194,0.793465,-0.446566,0.000798895,0.576965
0.618194,0.793465,-0.446566,0.000798895,0.576374
0.618194,0.793465,-0.446566,0.000798895,0.576643
0.618194,0.793465,-0.446566,0.000798895,0.575979
0.618194,0.793465,-0.446566,0.000798895,0.575739
0.618194,0.793465,-0.446566,0.000798895,0.576927
0.618194,0.793465,-0.446566,0.000798895,0.575543
0.618194,0.793465,-0.446566,0.000798895,0.576555
0.618194,0.793465,-0.446566,0.000798895,0.575754
0.618194,0.793465,-0.446566,0.000798895,0.575655
0.618194,0.793465,-0.446566,0.000798895,0.575946
0.618194,0.793465,-0.446566,0.000798895,0.575751
