j           beta        delta       acc_outer   avg_acc_inn last_exp_H  error       last_sigma  last_mu     
0           0.5         0.5         0.8         0.610033    0.492821    0.0284153   1.21823     0.640549    
1           0.641026    0.5         0.75        0.603997    0.281392    0.0204567   1.05896     0.79568     
2           0.821828    0.5         0.85        0.455906    -0.248586   0.00500895  0.913538    0.338691    
3           1.05363     0.5         0.3         0.468619    0.547066    0.0198782   0.816823    1.12762     
4           1.3508      0.5         0.7         0.523187    0.00343409  0.0177435   1.16856     0.370328    
5           1.7318      0.5         0.85        0.464915    -0.0732206  0.0119996   1.09028     0.500142    
6           2.22025     0.5         0.25        0.438111    -0.156276   0.0108731   0.981792    0.634312    
7           2.84648     0.5         0.45        0.509621    -0.402318   0.00250031  0.552139    0.755791    
8           3.64933     0.5         0.2         0.492251    -0.433201   0.00196889  0.599576    0.832588    
9           4.67863     0.5         0.3         0.414356    -0.189686   0.0105832   0.957439    0.611864    
10          5.99824     0.5         0.4         0.366049    -0.239223   0.00667181  1.01727     0.213214    
11          7.69005     0.5         0.2         0.422943    -0.188209   0.00891574  0.775781    0.927427    
12          9.85904     0.5         0.2         0.430428    -0.345629   0.00334964  0.519733    0.781303    
13          12.6398     0.5         0.2         0.429532    -0.36635    0.00411589  0.645666    0.928926    
14          16.2049     0.5         0.1         0.532378    -0.412026   0.00249623  0.595717    0.885164    
15          20.7755     0.1         0.7         0.549667    -0.388178   0.00223     0.671957    0.675459    
16          26.6352     0.1         0.55        0.548422    -0.443666   0.00221392  0.609287    0.808736    
17          34.1477     0.1         0.65        0.561985    -0.438056   0.00176286  0.600719    0.774846    
18          43.7791     0.1         0.55        0.5584      -0.41569    0.00164846  0.648054    0.710896    
19          56.1271     0.1         0.5         0.573589    -0.437454   0.00141034  0.583398    0.796146    
20          71.9578     0.1         0.42        0.569798    -0.436008   0.00198567  0.596072    0.839525    
21          84.6562     0.1         0.28        0.553965    -0.436418   0.00240085  0.646412    0.80214     
22          99.5956     0.1         0.34        0.567529    -0.432157   0.00181994  0.614416    0.855082    
23          117.171     0.1         0.18        0.559724    -0.440304   0.00194034  0.606791    0.832975    
24          137.849     0.1         0.18        0.559839    -0.438241   0.00193424  0.630728    0.763423    
25          162.175     0.01        0.74        0.565873    -0.434571   0.00157521  0.592804    0.764572    
26          190.794     0.01        0.78        0.564648    -0.435811   0.0018293   0.594479    0.770336    
27          224.463     0.01        0.9         0.565692    -0.440818   0.00223866  0.621149    0.802735    
28          264.075     0.01        0.8         0.586585    -0.430159   0.00226497  0.618904    0.849953    
29          310.676     0.01        0.78        0.5838      -0.437644   0.00211893  0.633099    0.831507    
30          365.501     0.01        0.72        0.578633    -0.444212   0.0017765   0.620036    0.793525    
31          430.001     0.01        0.66        0.569248    -0.439399   0.0018731   0.623718    0.76065     
32          505.884     0.01        0.64        0.570982    -0.441602   0.00177383  0.606903    0.807822    
33          595.158     0.01        0.62        0.573427    -0.442784   0.00159013  0.624012    0.76496     
34          700.185     0.01        0.78        0.569926    -0.438656   0.00134529  0.621319    0.759128    
35          823.747     0.01        0.6         0.570893    -0.443535   0.0016748   0.619937    0.818077    
36          969.115     0.01        0.54        0.575497    -0.443187   0.00167051  0.60988     0.806247    
37          1140.13     0.01        0.58        0.578262    -0.439776   0.00211148  0.633591    0.81883     
38          1341.34     0.01        0.6         0.577112    -0.444596   0.00177087  0.613667    0.800486    
39          1578.04     0.01        0.62        0.578431    -0.442843   0.0017724   0.620294    0.786957    
40          1856.52     0.01        0.5         0.577553    -0.445824   0.00176375  0.613738    0.800595    
41          2062.8      0.01        0.46        0.577029    -0.4445     0.00193429  0.62453     0.806616    
42          2292        0.01        0.5         0.58261     -0.444579   0.00166187  0.601762    0.782541    
43          2546.67     0.01        0.38        0.575006    -0.443927   0.00176176  0.63805     0.799785    
44          2829.63     0.01        0.5         0.575342    -0.443128   0.00162055  0.608714    0.793624    
45          3144.03     0.01        0.46        0.576869    -0.444871   0.00196365  0.626233    0.803996    
46          3493.37     0.01        0.48        0.582954    -0.437741   0.00184174  0.635522    0.77802     
47          3881.52     0.01        0.56        0.576708    -0.443406   0.00149336  0.625116    0.794604    
48          4312.8      0.01        0.4         0.582767    -0.439435   0.00179117  0.63884     0.806137    
49          4792        0.01        0.46        0.579797    -0.443894   0.00149425  0.615335    0.799111    
