j        beta       delta  acc_outer avg_acc_inn  last_exp_H 
0         0.5         0.1           1    0.677718   -0.418101
1    0.641026         0.1         0.8    0.765752   -0.411367
2    0.821828         0.1           1    0.780308   -0.287629
3     1.05363         0.1           1    0.747913   -0.290707
4      1.3508         0.1         0.6    0.539195     0.84838
5      1.7318         0.1         0.6    0.461061    0.194308
6     2.22025         0.1         0.7    0.606294    -0.41318
7     2.84648         0.1           1    0.785352   -0.389487
8     3.64933         0.1         0.9    0.755309   -0.397545
9     4.67863         0.1         0.8    0.797215   -0.380652
10     5.99824         0.1         0.9    0.765865    -0.25008
11     7.69005         0.1         0.8     0.71258   -0.244055
12     9.85904         0.1         0.6     0.73411   -0.183871
13     12.6398         0.1         0.7    0.723059   -0.246541
14     16.2049         0.1         0.8    0.759149   -0.248901
15     20.7755         0.1         0.7    0.738091    -0.17905
16     26.6352         0.1         0.6    0.720311   -0.305674
17     34.1477         0.1         0.8    0.779934   -0.348011
18     43.7791         0.1         0.4    0.805938   -0.431469
19     56.1271         0.1         0.4    0.765279   -0.423189
20     71.9578        0.01         0.7    0.725832   -0.423495
21     92.2536        0.01         0.7    0.726579   -0.411498
22     118.274        0.01         0.7    0.731444   -0.425101
23     151.633        0.01         0.6    0.743213   -0.440539
24     194.401        0.01         0.8    0.776129   -0.439679
25     249.233        0.01         0.9    0.776994   -0.441157
26     319.529        0.01         0.7    0.756582   -0.441851
27     409.653        0.01         0.6    0.764419   -0.441847
28     525.196        0.01         0.4    0.769723   -0.444711
29     673.328        0.01         0.4    0.775693   -0.447115
30     863.241       0.001        0.18    0.782206    -0.44735
31     1106.72       0.001        0.16    0.783943   -0.446242
32     1418.87       0.001         0.1    0.784647   -0.449506
33     1819.06       0.001           0    0.784258   -0.449506
34     2332.13       0.001        0.04    0.783917   -0.449693
35     2989.92       0.001           0    0.784094   -0.449693
36     3833.22       0.001           0    0.783737   -0.449693
37     4914.39       0.001        0.02    0.783816   -0.450895
38      6300.5       0.001           0    0.784352   -0.450895
39     8077.57       0.001           0    0.784247   -0.450895
40     10355.9       0.001           0    0.783663   -0.450895
41     13276.7       0.001           0    0.783896   -0.450895
42     17021.5       0.001           0     0.78421   -0.450895
43     21822.4       0.001        0.02    0.783756   -0.452094
44     27977.4       0.001           0    0.783318   -0.452094
45     35868.5       0.001           0    0.783065   -0.452094
46     45985.2       0.001           0    0.783667   -0.452094
47     58955.4       0.001           0    0.783444   -0.452094
48     75583.9       0.001           0    0.783343   -0.452094
49     96902.4       0.001           0    0.783315   -0.452094
