Block   Block_avgCumulative_avg       Error
0   -0.457902   -0.457902           0
1     -0.4786   -0.468251   0.0103487
2   -0.449587    -0.46203  0.00862562
3   -0.418861   -0.451238   0.0123964
4   -0.465124   -0.454015  0.00999575
5   -0.455429   -0.454251  0.00816489
6   -0.466683   -0.456027  0.00712551
7   -0.448919   -0.455138  0.00623449
8   -0.476706   -0.457535  0.00599786
9   -0.483367   -0.460118  0.00595421
10   -0.470392   -0.461052  0.00546618
11   -0.453546   -0.460426  0.00502896
12   -0.442643   -0.459058    0.004824
13   -0.404961   -0.455194  0.00590574
14   -0.463398   -0.455741  0.00552508
15   -0.443875      -0.455  0.00522118
16   -0.476331   -0.456254  0.00506242
17   -0.451103   -0.455968  0.00478147
18   -0.468042   -0.456604  0.00456724
19   -0.471567   -0.457352  0.00439699
20   -0.468238    -0.45787  0.00421437
21   -0.464374   -0.458166   0.0040291
22   -0.464503   -0.458441  0.00385979
23   -0.453264   -0.458226  0.00370176
24    -0.42728   -0.456988  0.00376018
25   -0.454204   -0.456881  0.00361425
26   -0.480862   -0.457769  0.00358944
27   -0.442692   -0.457231  0.00350053
28   -0.423191   -0.456057  0.00357581
29   -0.445707   -0.455712  0.00347174
30   -0.453483    -0.45564  0.00335865
31   -0.472136   -0.456155  0.00329261
32   -0.452778   -0.456053  0.00319291
33   -0.456569   -0.456068  0.00309762
34   -0.447794   -0.455832  0.00301709
35   -0.424159   -0.454952  0.00306124
36   -0.442482   -0.454615  0.00299636
37   -0.466923   -0.454939  0.00293438
38   -0.421791   -0.454089  0.00298184
39    -0.44644   -0.453898  0.00291263
40   -0.435524    -0.45345  0.00287583
41   -0.474608   -0.453953  0.00285138
42   -0.440668   -0.453644  0.00280137
43   -0.454587   -0.453666  0.00273704
44   -0.465665   -0.453932  0.00268878
45    -0.45527   -0.453962  0.00262984
46   -0.455463   -0.453994  0.00257348
47   -0.418512   -0.453254   0.0026255
48   -0.455519   -0.453301  0.00257178
49   -0.416722   -0.452569  0.00262387
50   -0.445613   -0.452433  0.00257552
51   -0.466975   -0.452712  0.00254094
52   -0.419259   -0.452081  0.00257121
53    -0.45262   -0.452091  0.00252317
54   -0.449242   -0.452039  0.00247741
55   -0.481129   -0.452559  0.00248761
56   -0.457741    -0.45265  0.00244527
57   -0.453034   -0.452656  0.00240275
58   -0.445182    -0.45253  0.00236507
59   -0.457011   -0.452604  0.00232652
60   -0.473333   -0.452944  0.00231316
61   -0.455745   -0.452989  0.00227599
62    -0.41579   -0.452399   0.0023161
63   -0.458965   -0.452501  0.00228193
64    -0.45584   -0.452553  0.00224714
65   -0.483348   -0.453019  0.00226149
66   -0.426036   -0.452617   0.0022636
67   -0.446229   -0.452523  0.00223204
68    -0.45072   -0.452497  0.00219961
69    -0.43781   -0.452287  0.00217808
70   -0.402613   -0.451587   0.0022583
71   -0.478909   -0.451967  0.00225881
72   -0.435072   -0.451735  0.00223965
73   -0.458547   -0.451827  0.00221109
74   -0.454311    -0.45186  0.00218166
75   -0.446944   -0.451796  0.00215373
76   -0.488186   -0.452268  0.00217749
77    -0.43599    -0.45206   0.0021595
78   -0.458423    -0.45214  0.00213351
79   -0.453068   -0.452152   0.0021067
80   -0.441356   -0.452018  0.00208479
81   -0.471619   -0.452257  0.00207304
82   -0.468109   -0.452448   0.0020568
83   -0.460412   -0.452543  0.00203437
84   -0.453159    -0.45255  0.00201031
85   -0.439537   -0.452399  0.00199255
86   -0.454341   -0.452421  0.00196964
87   -0.442562   -0.452309  0.00195035
88   -0.427537   -0.452031   0.0019483
89    -0.45867   -0.452105  0.00192794
90   -0.454237   -0.452128  0.00190678
91   -0.451257   -0.452119  0.00188596
92   -0.460785   -0.452212   0.0018679
93   -0.452483   -0.452215  0.00184792
94   -0.463794   -0.452337  0.00183243
95   -0.417113    -0.45197  0.00184999
96   -0.449583   -0.451945  0.00183098
97   -0.444201   -0.451866  0.00181392
98   -0.465837   -0.452007  0.00180105
99   -0.460721   -0.452094  0.00178507
