Block   Block_avgCumulative_avg       Error
0   -0.504962   -0.504962           0
1   -0.504117    -0.50454 0.000422235
2   -0.377903   -0.462328   0.0422128
3   -0.475802   -0.465696   0.0300384
4     -0.4905   -0.470657   0.0237906
5   -0.429456    -0.46379   0.0206029
6   -0.541985   -0.474961   0.0206878
7   -0.455167   -0.472487   0.0180862
8   -0.428549   -0.467605   0.0166809
9   -0.377421   -0.458586   0.0174337
10    -0.41921   -0.455007   0.0161705
11   -0.579612    -0.46539   0.0180479
12   -0.528231   -0.470224   0.0172911
13   -0.576859   -0.477841   0.0177281
14   -0.407827   -0.473173   0.0171513
15   -0.504896   -0.475156   0.0161656
16   -0.362096   -0.468506   0.0165775
17   -0.442444   -0.467058   0.0156963
18   -0.471837   -0.467309   0.0148494
19   -0.442837   -0.466086   0.0141404
20   -0.460393   -0.465815   0.0134529
21    -0.43778    -0.46454     0.01289
22   -0.461801   -0.464421   0.0123174
23   -0.392074   -0.461407   0.0121722
24   -0.452031   -0.461032   0.0116812
25   -0.536346   -0.463928   0.0115907
26     -0.3784   -0.460761   0.0115943
27   -0.448774   -0.460333   0.0111807
28   -0.327808   -0.455763   0.0117163
29    -0.48213   -0.456642   0.0113531
30   -0.325227   -0.452402   0.0117706
31   -0.401664   -0.450817   0.0115066
32   -0.505451   -0.452472   0.0112747
33   -0.481161   -0.453316   0.0109706
34   -0.515943   -0.455106   0.0108017
35   -0.441283   -0.454722   0.0105044
36   -0.526975   -0.456674   0.0104015
37   -0.481394   -0.457325    0.010145
38   -0.396598   -0.455768   0.0100034
39   -0.516461   -0.457285  0.00986742
40   -0.594634   -0.460635   0.0101901
41   -0.489535   -0.461323  0.00996833
42  -0.0996706   -0.452913    0.012864
43   -0.360928   -0.450822   0.0127409
44   -0.487451   -0.451636   0.0124811
45   -0.424515   -0.451047    0.012221
46   -0.492749   -0.451934   0.0119911
47   -0.461046   -0.452124   0.0117401
48   -0.433522   -0.451744   0.0115043
49   -0.431981   -0.451349   0.0112788
50   -0.473064   -0.451775   0.0110636
51   -0.454637    -0.45183   0.0108489
52    0.102007    -0.44138   0.0149149
53   -0.387884   -0.440389   0.0146696
54   -0.529893   -0.442017   0.0144921
55   -0.448886   -0.442139   0.0142315
56   -0.393325   -0.441283   0.0140058
57   -0.495176   -0.442212   0.0137935
58    -0.36863   -0.440965   0.0136149
59   -0.352213   -0.439486   0.0134676
60   -0.469598   -0.439979   0.0132541
61   -0.468433   -0.440438   0.0130467
62   -0.446597   -0.440536   0.0128383
63   -0.426717    -0.44032    0.012638
64   -0.402376   -0.439736   0.0124557
65   -0.449609   -0.439886   0.0122664
66   -0.412171   -0.439472    0.012089
67   -0.446707   -0.439579   0.0119104
68  -0.0314634   -0.433664   0.0131427
69   -0.433433   -0.433661   0.0129536
70   -0.513151    -0.43478   0.0128188
71   -0.456885   -0.435087   0.0126432
72   -0.429527   -0.435011   0.0124691
73   -0.408732   -0.434656   0.0123045
74   -0.476222    -0.43521    0.012152
75  -0.0510409   -0.430155    0.013013
76   -0.453104   -0.430453   0.0128463
77    -0.40502   -0.430127   0.0126847
78   -0.508978   -0.431125   0.0125628
79   -0.482727    -0.43177   0.0124216
80   -0.421265   -0.431641    0.012268
81   -0.480791    -0.43224   0.0121322
82   -0.381246   -0.431626   0.0120009
83   -0.523523    -0.43272   0.0119075
84   -0.356985   -0.431829   0.0118003
85   -0.430679   -0.431815   0.0116623
86   -0.483605   -0.432411   0.0115428
87   -0.417245   -0.432238   0.0114122
88   -0.487688   -0.432861   0.0113004
89   -0.464202    -0.43321   0.0111796
90   -0.406868    -0.43292   0.0110598
91   -0.462139   -0.433238   0.0109436
92   -0.448115   -0.433398   0.0108265
93   -0.330683   -0.432305   0.0107663
94   -0.474006   -0.432744   0.0106614
95   -0.501288   -0.433458   0.0105739
96   -0.498651    -0.43413   0.0104858
97   -0.493588   -0.434737    0.010396
98   -0.410775   -0.434495   0.0102933
99   -0.252674   -0.432676   0.0103508
100   -0.447439   -0.432823   0.0102488
101   -0.501609   -0.433497   0.0101703
102   -0.419989   -0.433366   0.0100719
103   -0.445913   -0.433487   0.0099753
104   -0.535933   -0.434462   0.0099279
105   -0.392639   -0.434068   0.0098417
106   -0.458068   -0.434292  0.00975187
107   -0.430399   -0.434256  0.00966122
108    0.119631   -0.429174   0.0108374
109   -0.434389   -0.429222   0.0107385
110   -0.369887   -0.428687   0.0106547
111   -0.112437   -0.425864   0.0109302
112   -0.453005   -0.426104   0.0108357
113   -0.502851   -0.426777   0.0107613
114   -0.480089   -0.427241   0.0106774
115   -0.516686   -0.428012    0.010613
116   -0.387514   -0.427665   0.0105276
117    -0.52011   -0.428449   0.0104673
118    -0.58985   -0.429805   0.0104673
119   -0.489222     -0.4303   0.0103915
120    -0.53332   -0.431152   0.0103403
121   -0.520066   -0.431881   0.0102811
122   -0.498886   -0.432425   0.0102117
123   -0.431882   -0.432421    0.010129
124   -0.517861   -0.433104   0.0100709
125    -0.47663    -0.43345   0.0099966
126   -0.475936   -0.433784  0.00992322
127   -0.449489   -0.433907  0.00984615
