j        beta       delta  acc_outer avg_acc_inn  last_exp_H 
0         0.5         0.7        0.53    0.723429    0.718382
1    0.666667         0.7        0.58    0.738176     0.13077
2    0.888889         0.5        0.56    0.626073   -0.168548
3     1.18519         0.5        0.64     0.70893   -0.147627
4     1.58025         0.5        0.68    0.725216    0.197697
5       2.107         0.5        0.51    0.698777   -0.148615
6     2.80933         0.5        0.42    0.720716   -0.213061
7     3.74577         0.5        0.47    0.706572   -0.163255
8     4.99436         0.2         0.5    0.702113   -0.390073
9     6.65915         0.2        0.51    0.709967   -0.387679
10     8.87886         0.2        0.41    0.692062    -0.42382
11     11.8385         0.2         0.4     0.74147   -0.356447
12     15.7846         0.2        0.64    0.761621   -0.412267
13     21.0462         0.2         0.4    0.755949   -0.438592
14     28.0616         0.2        0.29     0.75881   -0.424051
15     37.4155        0.01        0.88    0.801127   -0.437801
16     49.8873        0.01        0.84     0.81216   -0.411752
17     66.5164        0.01        0.83    0.807413   -0.419269
18     88.6885        0.01        0.72     0.78963   -0.438944
19     118.251        0.01         0.8    0.775549   -0.439495
20     157.668        0.01        0.74    0.792614   -0.447777
21     210.225       0.001        0.67    0.782325   -0.444835
22     280.299       0.001        0.51    0.783371   -0.448637
23     373.733       0.001        0.47    0.784649   -0.442837
24      498.31       0.001        0.47    0.786399   -0.445929
25     664.413       0.001        0.32     0.78548   -0.448583
26     885.885      0.0001        0.14    0.784742   -0.450054
27     1181.18      0.0001         0.1     0.78476   -0.447776
28     1574.91      0.0001        0.02     0.78447   -0.452431
29     2099.87      0.0001           0    0.784677   -0.452431
30     2799.83      0.0001       0.001    0.784633   -0.453215
31     3733.11      0.0001           0    0.784727   -0.453215
32     4977.48      0.0001           0    0.784677   -0.453215
33     6636.64      0.0001           0    0.784578   -0.453215
34     8848.85      0.0001       0.001    0.784535    -0.45342
35     11798.5      0.0001       0.001    0.784518   -0.453485
36     15731.3      0.0001           0    0.784571   -0.453485
37     20975.1      0.0001           0    0.784658   -0.453485
38     27966.7      0.0001           0    0.784561   -0.453485
39       37289      0.0001           0    0.784638   -0.453485
